description,go_BioProc,go_CellComp,go_MolFunc,proteinname
Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation,"transcription, DNA-templated:regulation of transcription, DNA-templated:regulation of transcription from RNA polymerase II promoter:transcription from RNA polymerase II promoter",nucleus:mediator complex:core mediator complex,RNA polymerase II core promoter sequence-specific DNA binding:RNA polymerase II transcription cofactor activity:molecular_function unknown,Med4p
Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs),negative regulation of protein phosphorylation:transport:plasma membrane organization:protein secretion:protein transport:regulation of fungal-type cell wall organization:regulation of phospholipid translocation:eisosome assembly:establishment of protein localization to plasma membrane,cytoplasm:mitochondrion:endoplasmic reticulum:plasma membrane:membrane:integral component of membrane:eisosome:cellular bud membrane:membrane raft:mating projection membrane:cell periphery,molecular_function unknown,Nce102p
"Cytosolic inhibitor of vacuolar proteinase B (PRB1), required for efficient vacuole inheritance; with thioredoxin forms protein complex LMA1, which assists in priming SNARE molecules and promotes vacuole fusion","transport:negative regulation of peptidase activity:negative regulation of endopeptidase activity:protein transport:regulation of proteolysis:vacuole fusion, non-autophagic:negative regulation of catalytic activity",fungal-type vacuole:nucleus:cytoplasm:cytosol,serine-type endopeptidase activity:endopeptidase inhibitor activity:serine-type endopeptidase inhibitor activity:peptidase inhibitor activity:identical protein binding,Pbi2p
"General repressor of transcription, forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes","negative regulation of transcription from RNA polymerase II promoter:negative regulation of transcription from RNA polymerase II promoter by glucose:negative regulation of mating-type specific transcription from RNA polymerase II promoter:transcription, DNA-templated:regulation of transcription, DNA-templated:negative regulation of transcription from RNA polymerase II promoter during mitotic cell cycle:nucleosome positioning:negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter:histone exchange:regulation of transcription from RNA polymerase II promoter in response to osmotic stress:regulation of transcription from RNA polymerase II promoter in response to hypoxia:regulation of invasive growth in response to glucose limitation:regulation of fatty acid biosynthetic process by regulation of transcription from RNA polymerase II promoter:regulation of response to DNA damage stimulus",histone acetyltransferase complex:nucleus:transcription elongation factor complex:transcriptional repressor complex:Elongator holoenzyme complex,"transcriptional repressor activity, RNA polymerase II transcription factor binding:mediator complex binding:histone binding:histone deacetylase binding:ubiquitin binding:phosphatidylinositol-3,5-bisphosphate binding",Tup1p
"Transcription factor, involved in regulating multidrug resistance and oxidative stress response; forms a heterodimer with Pdr1p; contains a Zn(II)2Cys6 zinc finger domain that interacts with a pleiotropic drug resistance element in vitro","transcription, DNA-templated:regulation of transcription, DNA-templated:transcription from RNA polymerase II promoter:response to xenobiotic stimulus:regulation of transcription from RNA polymerase II promoter in response to oxidative stress",nucleus,"RNA polymerase II transcription factor activity, sequence-specific DNA binding:DNA binding:transcription factor activity, sequence-specific DNA binding:zinc ion binding:sequence-specific DNA binding:metal ion binding",Stb5p
"Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor",pheromone-dependent signal transduction involved in conjugation with cellular fusion:mating:sexual reproduction,extracellular region,mating pheromone activity:pheromone activity:cupric ion binding,Mf(alpha)1
Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR283W is not an essential gene,biological_process unknown,mitochondrion:endoplasmic reticulum:membrane:integral component of membrane:mitochondrial membrane,molecular_function unknown,YLR283W
"Heme-binding protein involved in regulation of cytochrome P450 protein Erg11p; damage response protein, related to mammalian membrane progesterone receptors; mutations lead to defects in telomeres, mitochondria, and sterol synthesis",regulation of ergosterol biosynthetic process,endosome:membrane,heme binding,Dap1p
"Protein with a role in ubiquinone (Coenzyme Q) biosynthesis, possibly functioning in stabilization of Coq7p; located on the matrix face of the mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex",ubiquinone biosynthetic process,mitochondrion:mitochondrial inner membrane:membrane,molecular_function unknown,Coq4p
"Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A, inhibits growth, and induces a filamentous phenotype",pseudohyphal growth:oxidation-reduction process,cytoplasm:cellular bud:cellular bud neck,molecular_function unknown:oxidoreductase activity:NADP binding,Pam1p
Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p to limit maximal osmostress induced kinase activity; dephosphorylates Ire1p to downregulate the unfolded protein response; dephosphorylates Cdc28p; inactivates the DNA damage checkpoint,DNA damage checkpoint:regulation of cyclin-dependent protein serine/threonine kinase activity:inactivation of MAPK activity involved in osmosensory signaling pathway:protein dephosphorylation:endoplasmic reticulum unfolded protein response,nucleus:cytoplasm,catalytic activity:phosphoprotein phosphatase activity:protein serine/threonine phosphatase activity:hydrolase activity:cation binding:metal ion binding,Ptc2p
"Thymidylate synthase, required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S",dTMP biosynthetic process:dTTP biosynthetic process:nucleotide biosynthetic process:methylation,nucleus:nuclear periphery,thymidylate synthase activity:methyltransferase activity:transferase activity,Cdc21p
"Alpha-glucosidase with broad substrate specificity for alpha-1,4- and alpha-1,6-glucosides; member of IMA isomaltase family; not required for isomaltose utilization, but Ima4p overexpression allows the ima1 null mutant to grow on isomaltose",maltose metabolic process:carbohydrate metabolic process:metabolic process:disaccharide catabolic process,cellular_component unknown,"catalytic activity:oligo-1,6-glucosidase activity:hydrolase activity:hydrolase activity, acting on glycosyl bonds:cation binding",Ima4p
"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression",transport:allantoate transport:dipeptide transport:tripeptide transport:transmembrane transport,fungal-type vacuole:plasma membrane:membrane:integral component of membrane:cell periphery,transporter activity:allantoate transmembrane transporter activity:dipeptide transporter activity,Dal5p
"Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis",fatty acid beta-oxidation:ergosterol biosynthetic process:metabolic process,nucleus:cytoplasm:cytosol,"catalytic activity:acetyl-CoA C-acetyltransferase activity:transferase activity:transferase activity, transferring acyl groups:transferase activity, transferring acyl groups other than amino-acyl groups:metal ion binding",Erg10p
"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease","tRNA-type intron splice site recognition and cleavage:tRNA splicing, via endonucleolytic cleavage and ligation:tRNA processing:nucleic acid phosphodiester bond hydrolysis:RNA phosphodiester bond hydrolysis:RNA phosphodiester bond hydrolysis, endonucleolytic",tRNA-intron endonuclease complex:nucleus:mitochondrion:mitochondrial outer membrane:endomembrane system:membrane,tRNA-intron endonuclease activity:nucleic acid binding:nuclease activity:endonuclease activity:hydrolase activity:lyase activity,Sen34p
"Protein required for daughter cell separation, multiple mitotic checkpoints, and chromosome stability; contains 12 degenerate leucine-rich repeat motifs; expression is induced by the Mitotic Exit Network (MEN)",negative regulation of exit from mitosis:cell cycle:mitotic cell cycle checkpoint:cell division,nucleus:cytoplasm:cellular bud,protein binding,Amn1p
"Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex, which acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes","nuclear-transcribed mRNA poly(A) tail shortening:deadenylation-dependent decapping of nuclear-transcribed mRNA:DNA repair:postreplication repair:mRNA processing:protein phosphorylation:positive regulation of cytoplasmic mRNA processing body assembly:mRNA 3'-end processing:RNA phosphodiester bond hydrolysis, exonucleolytic",P-body:cytoplasm:PAN complex,"nucleotide binding:nucleic acid binding:poly(A)-specific ribonuclease activity:protein kinase activity:ATP binding:zinc ion binding:transferase activity, transferring phosphorus-containing groups:metal ion binding",Pan3p
"Cytoplasmic tryptophanyl-tRNA synthetase, aminoacylates tryptophanyl-tRNA",translation:tRNA aminoacylation for protein translation:tryptophanyl-tRNA aminoacylation,cytoplasm,nucleotide binding:aminoacyl-tRNA ligase activity:tryptophan-tRNA ligase activity:ATP binding:ligase activity,Wrs1p
One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes,"RNA polymerase III type 1 promoter transcriptional preinitiation complex assembly:transcription from RNA polymerase III type 2 promoter:RNA polymerase III type 2 promoter transcriptional preinitiation complex assembly:transcription from a RNA polymerase III hybrid type promoter:transcription, DNA-templated:regulation of transcription, DNA-templated:regulation of transcription from RNA polymerase III promoter:dephosphorylation:5S class rRNA transcription from RNA polymerase III type 1 promoter",transcription factor TFIIIC complex:nucleus,"RNA polymerase III type 1 promoter sequence-specific DNA binding:RNA polymerase III type 2 promoter sequence-specific DNA binding:transcription factor activity, RNA polymerase III type 1 promoter sequence-specific binding, TFIIIB recruiting:transcription factor activity, RNA polymerase III type 2 promoter sequence-specific binding, TFIIIB recruiting:RNA polymerase III transcription factor activity, sequence-specific DNA binding:DNA binding:DNA binding, bending:phosphatase activity",Tfc7p
One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic,transport:intra-Golgi vesicle-mediated transport:early endosome to Golgi transport:regulation of GTPase activity:positive regulation of GTPase activity,early endosome:Golgi apparatus:trans-Golgi network:cytosol:TRAPP complex:TRAPPII protein complex,Rab guanyl-nucleotide exchange factor activity,Trs120p
"Putative metalloprotease of the mitochondrial inner membrane, required for processing of Atp6p; has an additional role in assembly of the F0 sector of the F1F0 ATP synthase complex",proteolysis:protein processing:mitochondrial proton-transporting ATP synthase complex assembly:mitochondrial protein processing,mitochondrion:mitochondrial inner membrane:mitochondrial intermembrane space:membrane:extrinsic component of mitochondrial inner membrane,molecular_function unknown:metalloendopeptidase activity:peptidase activity:metallopeptidase activity:hydrolase activity:metal ion binding,Atp23p
Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YNL146W is not an essential gene,biological_process unknown,endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane,molecular_function unknown,YNL146W
"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles",protein retention in ER lumen:transport:ER to Golgi vesicle-mediated transport:protein transport:vesicle-mediated transport,endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:ER to Golgi transport vesicle,molecular_function unknown,Erp2p
"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres",histone H3-K4 methylation,nucleus:Set1C/COMPASS complex,histone methyltransferase activity (H3-K4 specific),Shg1p
"Tyrosyl-DNA Phosphodiesterase I, hydrolyzes 3' and 5'-phosphotyrosyl bonds, involved in the repair of DNA lesions created by topoisomerase I and topoisomerase II; mutations in human homolog result in the neurodegenerative disease SCANI",single strand break repair:DNA repair:double-strand break repair:cellular response to DNA damage stimulus:nucleic acid phosphodiester bond hydrolysis,nucleus,double-stranded DNA binding:single-stranded DNA binding:nuclease activity:exonuclease activity:phosphoric diester hydrolase activity:hydrolase activity:3'-tyrosyl-DNA phosphodiesterase activity:5'-tyrosyl-DNA phosphodiesterase activity,Tdp1p
"Glucose-6-phosphate dehydrogenase (G6PD), catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidatve stress; homolog of the human G6PD which is deficient in patients with hemolytic anemia","carbohydrate metabolic process:glucose metabolic process:pentose-phosphate shunt:NADPH regeneration:pentose-phosphate shunt, oxidative branch:response to hydrogen peroxide:carbon catabolite repression of transcription:oxidation-reduction process",cytoplasm,nucleotide binding:glucose-6-phosphate dehydrogenase activity:oxidoreductase activity:NADP binding,Zwf1p
"Endosomal subunit of membrane-associated retromer complex required for retrograde transport; receptor that recognizes retrieval signals on cargo proteins, forms subcomplex with Vps26p and Vps29p that selects cargo proteins for retrieval","transport:intracellular protein transport:protein transport:retrograde transport, endosome to Golgi:protein retention in Golgi apparatus","fungal-type vacuole membrane:endosome:late endosome:cytosol:membrane:retromer complex:retromer, cargo-selective complex",protein transporter activity,Vps35p
Essential iron-sulfur protein required for ribosome biogenesis and translation initiation and termination; facilitates binding of a multifactor complex (MFC) of initiation factors to the small ribosomal subunit; predicted ABC family ATPase,ribosomal subunit export from nucleus:rRNA processing:translation:translational initiation:translational termination:transport:ribosome disassembly:ribosome biogenesis:ribosomal large subunit biogenesis:positive regulation of translation,"nucleus:cytoplasm:eukaryotic translation initiation factor 3 complex:cytosolic ribosome:preribosome, large subunit precursor",nucleotide binding:translation initiation factor activity:iron ion binding:ATP binding:electron carrier activity:ATPase activity:nucleoside-triphosphatase activity:ribosomal small subunit binding:iron-sulfur cluster binding,Rli1p
Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to COPI-coated vesicles (early Golgi); mtc1 is synthetically lethal with cdc13-1,biological_process unknown,cytoplasm:Golgi apparatus:ribosome:COPI-coated vesicle:cytoplasmic vesicle,molecular_function unknown,Mtc1p
"Integral subunit of SAGA histone acetyltransferase complex, regulates transcription of a subset of SAGA-regulated genes, required for the Ubp8p association with SAGA and for H2B deubiquitylation","transcription, DNA-templated:regulation of transcription, DNA-templated:regulation of transcription from RNA polymerase II promoter:covalent chromatin modification:histone deubiquitination:positive regulation of catalytic activity",SAGA complex:nucleus:DUBm complex,enzyme activator activity:metal ion binding,Sgf11p
"Constituent of 66S pre-ribosomal particles, required for ribosomal large subunit maturation; functionally redundant with Ssf2p; member of the Brix family","ribosomal large subunit assembly:maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):conjugation with cellular fusion:regulation of cell size:ribosome biogenesis","nucleus:nucleolus:preribosome, large subunit precursor",rRNA binding,Ssf1p
"Mitochondrial NADH kinase, phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress",NADP biosynthetic process:metabolic process:phosphorylation:NAD metabolic process:cellular response to oxidative stress,mitochondrion:mitochondrial matrix,nucleotide binding:NAD+ kinase activity:ATP binding:kinase activity:transferase activity:NADH kinase activity,Pos5p
"Ketopantoate hydroxymethyltransferase, required for pantothenic acid biosynthesis, converts 2-oxoisovalerate into 2-dehydropantoate",pantothenate biosynthetic process:methylation,mitochondrion,catalytic activity:3-methyl-2-oxobutanoate hydroxymethyltransferase activity:methyltransferase activity:transferase activity,Ecm31p
mitochondrial ribosomal protein of the large subunit,translation:mitochondrial translation,intracellular:mitochondrion:mitochondrial large ribosomal subunit:ribosome:intracellular ribonucleoprotein complex,structural constituent of ribosome,Mrpl40p
N-myristoylated calcium-binding protein that may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily,regulation of signal transduction:positive regulation of catalytic activity,Golgi membrane:cytosol:plasma membrane:membrane:cellular bud membrane,calcium ion binding:enzyme activator activity:metal ion binding,Frq1p
Putative protein of unknown function involved in and induced by the endoplasmic reticulum unfolded protein response,response to unfolded protein:endoplasmic reticulum unfolded protein response,cellular_component unknown:endoplasmic reticulum,molecular_function unknown,Uli1p
"Nuclear envelope protein that mediates the nuclear export of importin alpha (Srp1p), homolog of metazoan CAS protein, required for accurate chromosome segregation",protein import into nucleus:protein export from nucleus:transport:intracellular protein transport:cell cycle:protein transport:cell division,nucleus:nuclear envelope:nuclear pore:cytoplasm:cytosol:integral component of membrane,nuclear export signal receptor activity:Ran GTPase binding:protein transporter activity,Cse1p
"Putative protein kinase; overexpression increases sodium and lithium tolerance, whereas gene disruption increases cation and low pH sensitivity and impairs potassium uptake, suggesting a role in regulation of Trk1p and/or Trk2p transporters",protein phosphorylation:protein dephosphorylation:phosphorylation:cellular cation homeostasis:cellular protein localization:intracellular signal transduction,cellular_component unknown:nucleus:cytoplasm,"nucleotide binding:protein kinase activity:protein serine/threonine kinase activity:ATP binding:kinase activity:transferase activity:transferase activity, transferring phosphorus-containing groups",Hal5p
Homolog of human tumor suppressor gene PTEN/MMAC1/TEP1 that has lipid phosphatase activity and is linked to the phosphatidylinositol signaling pathway; plays a role in normal sporulation,protein dephosphorylation:dephosphorylation:ascospore wall assembly:peptidyl-tyrosine dephosphorylation:phosphatidylinositol dephosphorylation,cytoplasm,"molecular_function unknown:protein tyrosine phosphatase activity:protein tyrosine/serine/threonine phosphatase activity:phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity:hydrolase activity:phosphatase activity",Tep1p
"Protein required, along with Dph1p, Kti11p, Jjj3p, and Dph5p, for synthesis of diphthamide, which is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); may act in a complex with Dph1p and Kti11p",peptidyl-diphthamide biosynthetic process from peptidyl-histidine,cytoplasm,molecular_function unknown,Dph2p
"Endosomal protein that forms a complex with Hse1p; required for recycling Golgi proteins, forming lumenal membranes and sorting ubiquitinated proteins destined for degradation; has Ubiquitin Interaction Motifs which bind ubiquitin (Ubi4p)",protein targeting to vacuole:intracellular protein transport:protein retention in Golgi apparatus:late endosome to vacuole transport:ATP export,endosome:endosome membrane:membrane:ESCRT-0 complex,phosphatidylinositol-3-phosphate binding:ubiquitin binding:metal ion binding,Vps27p
Putative protein of unknown function,autophagy:biological_process unknown:nucleophagy:reticulophagy,cellular_component unknown:endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:pre-autophagosomal structure membrane:perinuclear endoplasmic reticulum,"molecular_function unknown:protein binding, bridging",Atg39p
"Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p",flocculation:flocculation via cell wall protein-carbohydrate interaction:cellular response to stress:cellular response to heat:coflocculation:cellular response to hydrogen peroxide:cellular response to ethanol,extracellular region:cell wall:plasma membrane:fungal-type cell wall:membrane:anchored component of membrane:cell periphery,mannose binding,Flo1p
"DNA-binding protein of the mitochondria involved in repair of mitochondrial DNA, has ATPase activity and binds to DNA mismatches; has homology to E. coli MutS; transcription is induced during meiosis",mitochondrial genome maintenance:meiotic mismatch repair:DNA repair:mismatch repair:cellular response to DNA damage stimulus:mitochondrion organization:reciprocal meiotic recombination:mitochondrial DNA repair:maintenance of DNA repeat elements,nuclear chromosome:mitochondrion:mismatch repair complex,nucleotide binding:heteroduplex DNA loop binding:DNA binding:damaged DNA binding:ATP binding:DNA-dependent ATPase activity:mismatched DNA binding:guanine/thymine mispair binding:dinucleotide insertion or deletion binding,Msh1p
Protein of unknown function containing 8 putative transmembrane seqments; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression,transport:biological_process unknown:transmembrane transport,Golgi apparatus:integral component of plasma membrane:membrane:integral component of membrane:clathrin-coated vesicle:COPI-coated vesicle,molecular_function unknown:substrate-specific transmembrane transporter activity,Bsc6p
"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase II (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa1p",nucleotide metabolic process:nucleoside catabolic process,nucleus:cytoplasm,nucleotide binding:catalytic activity:ATP adenylyltransferase activity:sulfate adenylyltransferase (ADP) activity:ATP binding:bis(5'-nucleosyl)-tetraphosphatase activity:transferase activity:nucleotidyltransferase activity:hydrolase activity,Apa2p
"DNA binding component of the SBF complex (Swi4p-Swi6p), a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair","regulation of transcription involved in G1/S transition of mitotic cell cycle:transcription, DNA-templated:regulation of transcription, DNA-templated:transcription from RNA polymerase II promoter:asparagine catabolic process:positive regulation of transcription from RNA polymerase II promoter in response to heat stress:positive regulation of transcription involved in G1/S transition of mitotic cell cycle",nuclear chromatin:cytoplasm:MBF transcription complex:SBF transcription complex,"RNA polymerase II core promoter proximal region sequence-specific DNA binding:transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding:DNA binding:transcription factor activity, sequence-specific DNA binding:asparaginase activity:sequence-specific DNA binding",Swi4p
"Ribosomal protein P2 alpha, a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm",cytoplasmic translation:translational elongation:activation of protein kinase activity,"intracellular:cytoplasm:ribosome:cytosolic large ribosomal subunit:intracellular ribonucleoprotein complex:preribosome, large subunit precursor",structural constituent of ribosome:protein kinase activator activity:large ribosomal subunit rRNA binding,Rpp2ap
"Probable phosphopantothenoylcysteine synthetase (PPCS), which catalyzes the second step of coenzyme A biosynthesis from pantothenate; null mutant lethality is complemented by E. coli coaBC (encoding a bifunctional enzyme with PPCS activity)",coenzyme A biosynthetic process,nucleus:cytoplasm:CoA-synthesizing protein complex,phosphopantothenate--cysteine ligase activity:ligase activity,Cab2p
"Putative ubiquitin-specific protease, closest paralog of Doa4p but has no functional overlap; concentrates at the bud neck",proteolysis:ubiquitin-dependent protein catabolic process:protein deubiquitination,incipient cellular bud site:cellular bud neck,thiol-dependent ubiquitin-specific protease activity:peptidase activity:cysteine-type peptidase activity:hydrolase activity:thiol-dependent ubiquitinyl hydrolase activity,Ubp5p
"Glucose-repressible alcohol dehydrogenase II, catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1",amino acid catabolic process to alcohol via Ehrlich pathway:ethanol metabolic process:NADH oxidation:oxidation-reduction process,cytoplasm,nucleotide binding:alcohol dehydrogenase (NAD) activity:zinc ion binding:oxidoreductase activity:metal ion binding,Adh2p
"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes",5-phosphoribose 1-diphosphate biosynthetic process:regulation of cell size:nucleoside metabolic process:ribonucleoside monophosphate biosynthetic process:nucleotide biosynthetic process:phosphorylation:fungal-type cell wall organization:cellular biosynthetic process,ribose phosphate diphosphokinase complex:cytoplasm,nucleotide binding:magnesium ion binding:ribose phosphate diphosphokinase activity:ATP binding:kinase activity:transferase activity:metal ion binding,Prs3p
"Evolutionarily-conserved 5'-3' exonuclease component of cytoplasmic processing (P) bodies involved in mRNA decay; plays a role in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, and telomere maintenance","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay:karyogamy:nuclear-transcribed mRNA catabolic process:rRNA processing:traversing start control point of mitotic cell cycle:positive regulation of transcription elongation from RNA polymerase II promoter:snoRNA processing:positive regulation of transcription initiation from RNA polymerase II promoter:nonfunctional rRNA decay:nucleic acid phosphodiester bond hydrolysis:RNA phosphodiester bond hydrolysis, exonucleolytic",P-body:intracellular:nucleus:cytoplasm:microtubule:cytoplasmic stress granule:perinuclear region of cytoplasm,nucleic acid binding:chromatin binding:RNA binding:mRNA binding:nuclease activity:exonuclease activity:5'-3' exoribonuclease activity:deoxyribonuclease activity:5'-3' exonuclease activity:hydrolase activity,Xrn1p
Putative protein of unknown function,protein glycosylation:protein O-linked glycosylation:biological_process unknown:fungal-type cell wall organization:protein O-linked mannosylation:ER-associated misfolded protein catabolic process:mannosylation,endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex,"mannosyltransferase activity:molecular_function unknown:dolichyl-phosphate-mannose-protein mannosyltransferase activity:transferase activity:transferase activity, transferring glycosyl groups",Pmt7p
"Endoplasmic reticulum (ER) localized protein involved in ER-associated protein degradation (ERAD), ER stress and homeostasis; interacts with components of ERAD-L and ERAD-C and Cdc48p; derlin-like family member similar to Der1p",response to stress:ubiquitin-dependent ERAD pathway:endoplasmic reticulum unfolded protein response,Doa10p ubiquitin ligase complex:Hrd1p ubiquitin ligase ERAD-L complex:endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane,molecular_function unknown,Dfm1p
"Putative alpha-1,2-mannosyltransferase involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; Svp26p mediates uptake of Ktr3p into COPII vesicles",cell wall mannoprotein biosynthetic process:protein glycosylation:N-glycan processing:protein O-linked glycosylation:mannosylation,fungal-type vacuole:fungal-type vacuole membrane:nucleus:cytoplasm:Golgi apparatus:membrane:integral component of membrane,"alpha-1,2-mannosyltransferase activity:mannosyltransferase activity:transferase activity:transferase activity, transferring glycosyl groups",Ktr3p
"Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate; transcription induced in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; non-essential",carbohydrate metabolic process:glucose metabolic process:inosine catabolic process:purine ribonucleoside salvage:biological_process unknown:glucose 1-phosphate metabolic process:guanosine catabolic process:organic substance metabolic process,nucleus:cytoplasm:cytosol,"magnesium ion binding:phosphoglucomutase activity:phosphopentomutase activity:isomerase activity:intramolecular transferase activity, phosphotransferases:metal ion binding",Prm15p
mRNA-binding protein expressed during iron starvation; binds to a sequence element in the 3'-untranslated regions of specific mRNAs to mediate their degradation; involved in iron homeostasis,nuclear-transcribed mRNA catabolic process:cellular iron ion homeostasis:3'-UTR-mediated mRNA destabilization,P-body:nucleus:cytoplasm:cytosol,nucleic acid binding:RNA binding:mRNA binding:mRNA 3'-UTR binding:zinc ion binding:metal ion binding,Tis11p
"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt5p, can instead interact with Pmt1p in some conditions; target for new antifungals",protein glycosylation:protein O-linked glycosylation:fungal-type cell wall organization:protein O-linked mannosylation:ER-associated misfolded protein catabolic process,endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:dolichyl-phosphate-mannose-protein mannosyltransferase complex:dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex:dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex:dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex,"mannosyltransferase activity:dolichyl-phosphate-mannose-protein mannosyltransferase activity:transferase activity:transferase activity, transferring glycosyl groups",Pmt3p
Putative protein of unknown function; transcription is significantly increased in a NAP1 deletion background; deletion mutant has increased accumulation of nickel and selenium,biological_process unknown,cellular_component unknown,molecular_function unknown,YGL260W
"Cytoplasmic chaperone of the Hsp90 family, redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock",box C/D snoRNP assembly:telomere maintenance:protein folding:'de novo' protein folding:response to stress:cellular response to heat:protein refolding:proteasome assembly,cytoplasm:mitochondrion:plasma membrane,"nucleotide binding:ATP binding:ATPase activity:ATPase activity, coupled:unfolded protein binding",Hsc82p
"Mitochondrial acetyl-coenzyme A carboxylase, catalyzes the production of malonyl-CoA in mitochondrial fatty acid biosynthesis",lipid metabolic process:fatty acid metabolic process:fatty acid biosynthetic process:metabolic process:malonyl-CoA biosynthetic process,cytoplasm:mitochondrion,nucleotide binding:catalytic activity:acetyl-CoA carboxylase activity:biotin carboxylase activity:ATP binding:ligase activity:metal ion binding,Hfa1p
