proteinname,go_IC
cik1,microtubule
cik1,cytoplasmic microtubule
mrpl32,mitochondrion
mrpl32,mitochondrial inner membrane
mrpl32,mitochondrial large ribosomal subunit
mrpl32,ribosome
mrpl32,large ribosomal subunit
mrpl32,intracellular ribonucleoprotein complex
hxt7,mitochondrion
hxt7,plasma membrane
hxt7,integral component of plasma membrane
hxt7,membrane
hxt7,integral component of membrane
hxt7,cell periphery
inp2,cytoplasm
inp2,peroxisome
inp2,peroxisomal membrane
inp2,integral component of peroxisomal membrane
inp2,membrane
inp2,integral component of membrane
pau12,cellular_component unknown
pau12,fungal-type cell wall
pau12,membrane
pau12,integral component of membrane
yll067c,cellular_component unknown
yel008w,cellular_component unknown
gal1,cytoplasm
cdc73,nucleus
cdc73,nucleoplasm
cdc73,Cdc73/Paf1 complex
cdc73,transcriptionally active chromatin
pcl6,cyclin-dependent protein kinase holoenzyme complex
pcl6,nucleus
pcl6,cytoplasm
rad53,nucleus
rad53,cytosol
rrn10,RNA polymerase I upstream activating factor complex
rrn10,nucleus
rrn10,nucleolus
rib2,cytoplasm
rib2,mitochondrion
dsc3,fungal-type vacuole lumen
dsc3,endoplasmic reticulum
dsc3,endoplasmic reticulum membrane
dsc3,membrane
dsc3,integral component of membrane
dsc3,Dsc E3 ubiquitin ligase complex
ypl216w,"chromosome, telomeric region"
ypl216w,cellular_component unknown
ypl216w,nucleus
ypl216w,CHRAC
swf1,endoplasmic reticulum
swf1,endoplasmic reticulum membrane
swf1,membrane
swf1,integral component of membrane
swf1,actin cortical patch
swf1,actin filament bundle
swf1,nuclear outer membrane-endoplasmic reticulum membrane network
gea2,Golgi cis cisterna
gea2,cytoplasm
gea2,cytosol
gea2,membrane
gea2,integral component of membrane
gea2,extrinsic component of membrane
erg7,endoplasmic reticulum
erg7,endoplasmic reticulum membrane
erg7,lipid particle
erg7,membrane
bre1,"chromosome, telomeric region"
bre1,nuclear chromatin
bre1,nucleus
rps22ap,intracellular
rps22ap,cytoplasm
rps22ap,ribosome
rps22ap,cytosolic small ribosomal subunit
rps22ap,intracellular ribonucleoprotein complex
ela1,nucleus
ela1,cytoplasm
ela1,integral component of membrane
ela1,Cul3-RING ubiquitin ligase complex
ela1,elongin complex
trs130,early endosome
trs130,Golgi apparatus
trs130,trans-Golgi network
trs130,cytosol
trs130,TRAPP complex
trs130,TRAPPII protein complex
ldb18,astral microtubule
ldb18,spindle pole body
ldb18,dynactin complex
ldb18,cell cortex
ist1,cytoplasm
ist1,endosome
flo5,extracellular region
flo5,cell wall
flo5,fungal-type cell wall
flo5,membrane
flo5,anchored component of membrane
flo5,cell periphery
mrp2,intracellular
mrp2,mitochondrion
mrp2,mitochondrial small ribosomal subunit
mrp2,ribosome
mrp2,intracellular ribonucleoprotein complex
mhp1,cytoplasm
mhp1,spindle
mhp1,cytoskeleton
mhp1,microtubule
rpl18bp,intracellular
rpl18bp,cytoplasm
rpl18bp,ribosome
rpl18bp,cytosolic large ribosomal subunit
rpl18bp,intracellular ribonucleoprotein complex
fet3,fungal-type vacuole
fet3,endoplasmic reticulum
fet3,plasma membrane
fet3,membrane
fet3,integral component of membrane
fet3,high-affinity iron permease complex
apn1,intracellular
apn1,nucleus
apn1,mitochondrion
snf2,nucleus
snf2,SWI/SNF complex
utp14,nucleus
utp14,nucleolus
utp14,intracellular ribonucleoprotein complex
utp14,small-subunit processome
ydr061w,mitochondrion
rps17ap,intracellular
rps17ap,cytoplasm
rps17ap,ribosome
rps17ap,cytosolic small ribosomal subunit
rps17ap,intracellular ribonucleoprotein complex
rix1,nucleus
rix1,nucleoplasm
rix1,cytosol
rix1,Rix1 complex
pmp3,plasma membrane
pmp3,membrane
pmp3,integral component of membrane
pmp3,cell periphery
yke2,nucleus
yke2,cytoplasm
yke2,prefoldin complex
ymr321c,cellular_component unknown
tmt1,cytoplasm
tmt1,cytosol
rex3,intracellular
rex3,nucleus
rex3,cytoplasm
apl2,cytosol
apl2,plasma membrane
apl2,clathrin-coated pit
apl2,membrane
apl2,membrane coat
apl2,AP-1 adaptor complex
ydl183c,integral component of mitochondrial inner membrane
osh6,cytoplasm
osh6,endoplasmic reticulum
osh6,endoplasmic reticulum membrane
osh6,membrane
osh6,extrinsic component of membrane
osh6,cortical endoplasmic reticulum
ypl278c,cellular_component unknown
shh3,mitochondrion
shh3,mitochondrial inner membrane
shh3,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)"
shh3,membrane
shh3,integral component of membrane
shh3,succinate dehydrogenase complex
stb3,nucleus
stb3,cytoplasm
ycl049c,membrane
sgt1,ubiquitin ligase complex
sef1,cellular_component unknown
sef1,nucleus
rmd9,mitochondrion
rmd9,mitochondrial inner membrane
rmd9,membrane
rmd9,extrinsic component of mitochondrial inner membrane
scs7,endoplasmic reticulum
scs7,endoplasmic reticulum membrane
scs7,membrane
scs7,integral component of membrane
rpn7,proteasome complex
rpn7,nucleus
rpn7,"proteasome regulatory particle, lid subcomplex"
tif4631,P-body
tif4631,cytoplasm
tif4631,mitochondrion
tif4631,ribosome
tif4631,cytoplasmic stress granule
tif4631,eukaryotic translation initiation factor 4F complex
urc2,nucleus
urc2,cytoplasm
def1,"chromosome, telomeric region"
def1,nucleus
def1,chromosome
idp3,cytoplasm
idp3,mitochondrion
idp3,peroxisome
idp3,peroxisomal importomer complex
ykl023w,cytoplasm
osm1,cytoplasm
osm1,mitochondrion
osm1,endoplasmic reticulum
cdc36,P-body
cdc36,nucleus
cdc36,cytoplasm
cdc36,CCR4-NOT core complex
mil1,membrane
mil1,integral component of membrane
mcm22,"chromosome, centromeric region"
mcm22,kinetochore
mcm22,condensed chromosome kinetochore
mcm22,condensed nuclear chromosome kinetochore
mcm22,nucleus
mcm22,chromosome
pds5,chromatin
pds5,condensed nuclear chromosome
pds5,nuclear cohesin complex
pds5,nucleus
pds5,cytosol
pds5,nuclear mitotic cohesin complex
ski8,nuclear chromosome
ski8,nucleus
ski8,chromosome
ski8,cytoplasm
ski8,Ski complex
crz1,intracellular
crz1,nucleus
crz1,cytoplasm
gcd7,mitochondrion
gcd7,cytosol
gcd7,eukaryotic translation initiation factor 2B complex
gcd7,guanyl-nucleotide exchange factor complex
tda10,nucleus
tda10,cytoplasm
tda10,cytosol
ydr210w,cellular_component unknown
ydr210w,plasma membrane
ydr210w,membrane
ydr210w,integral component of membrane
ydr210w,cellular bud membrane
ydr210w,mating projection membrane
pog1,nuclear chromatin
pog1,nucleus
ptp1,cytoplasm
ptp1,mitochondrion
hmf1,nucleus
hmf1,cytoplasm
hmf1,mitochondrion
hmf1,mitochondrial intermembrane space
hmf1,cytosol
rsm7,intracellular
rsm7,mitochondrion
rsm7,mitochondrial small ribosomal subunit
rsm7,ribosome
rsm7,intracellular ribonucleoprotein complex
ask10,cytoplasm
ask10,"DNA-directed RNA polymerase II, holoenzyme"
agp1,vacuole
agp1,endoplasmic reticulum
agp1,plasma membrane
agp1,integral component of plasma membrane
agp1,membrane
agp1,integral component of membrane
sec6,exocyst
sec6,prospore membrane
sec6,cytoplasm
sec6,cellular bud tip
sec6,cellular bud neck
sec6,mating projection tip
yvh1,nucleus
yvh1,cytoplasm
yvh1,cytoplasmic stress granule
yvh1,"preribosome, large subunit precursor"
thg1,nucleus
thg1,cytoplasm
sol1,nucleus
sol1,cytoplasm
yol085c,cellular_component unknown
rog1,cellular_component unknown
rog1,nucleus
rog1,cytoplasm
tex1,transcription export complex
tex1,THO complex part of transcription export complex
tex1,nucleus
gip4,cytoplasm
ldb7,nucleus
ldb7,RSC complex
rvb1,Swr1 complex
rvb1,nucleus
rvb1,Ino80 complex
rvb1,NuA4 histone acetyltransferase complex
rvb1,ASTRA complex
rvb1,R2TP complex
pop3,ribonuclease MRP complex
pop3,nucleus
pop3,nucleolar ribonuclease P complex
pop3,cytosol
clb1,cyclin-dependent protein kinase holoenzyme complex
clb1,nucleus
clb1,cytoplasm
ypt10,fungal-type vacuole membrane
ypt10,cytoplasm
ypt10,early endosome
ypt10,late endosome
ypt10,plasma membrane
ypt10,membrane
ypt10,endocytic vesicle
swc5,Swr1 complex
swc5,nucleus
swc5,cytosol
rpa34,nucleus
rpa34,nucleolus
rpa34,DNA-directed RNA polymerase I complex
rgi2,cytoplasm
mrpl28,mitochondrion
mrpl28,mitochondrial large ribosomal subunit
mrpl28,ribosome
mrpl28,intracellular ribonucleoprotein complex
tyr1,cytoplasm
lge1,nucleus
bud8,incipient cellular bud site
bud8,plasma membrane
bud8,cellular bud tip
bud8,membrane
bud8,integral component of membrane
rpl40ap,nucleus
rpl40ap,cytoplasm
rpl40ap,ribosome
rpl40ap,cytosolic large ribosomal subunit
rpl40ap,intracellular ribonucleoprotein complex
acc1,cytoplasm
acc1,mitochondrion
acc1,endoplasmic reticulum
acc1,endoplasmic reticulum membrane
acc1,cytosol
acc1,membrane
msp1,nucleus
msp1,mitochondrion
msp1,mitochondrial outer membrane
msp1,peroxisomal membrane
msp1,membrane
msp1,integral component of membrane
bzz1,cytoplasm
bzz1,cytoskeleton
bzz1,plasma membrane
bzz1,cellular bud neck
bzz1,actin cortical patch
bzz1,mating projection tip
cdc26,nucleus
cdc26,anaphase-promoting complex
cdc26,cytosol
spi1,extracellular region
spi1,cell wall
spi1,fungal-type cell wall
spi1,membrane
spi1,anchored component of membrane
spi1,cell periphery
prm1,fungal-type vacuole
prm1,plasma membrane
prm1,membrane
prm1,integral component of membrane
prm1,mating projection tip
urh1,nucleus
urh1,cytoplasm
urh1,cytosol
mdm38,mitochondrion
mdm38,mitochondrial inner membrane
mdm38,membrane
mdm38,integral component of membrane
chs6,Golgi apparatus
chs6,cytosol
chs6,membrane
chs6,clathrin-coated vesicle
chs6,trans-Golgi network transport vesicle
chs6,exomer complex
vps30,fungal-type vacuole membrane
vps30,pre-autophagosomal structure
vps30,cytoplasm
vps30,endosome
vps30,vacuole
vps30,vacuolar membrane
vps30,cytosol
vps30,endosome membrane
vps30,membrane
vps30,extrinsic component of membrane
vps30,pre-autophagosomal structure membrane
vps30,"phosphatidylinositol 3-kinase complex, class III, type I"
vps30,"phosphatidylinositol 3-kinase complex, class III, type II"
shr5,endoplasmic reticulum
shr5,endoplasmic reticulum membrane
shr5,membrane
shr5,endoplasmic reticulum palmitoyltransferase complex
shr5,extrinsic component of endoplasmic reticulum membrane
ypl257w,membrane
ypl257w,integral component of membrane
skg6,incipient cellular bud site
skg6,integral component of plasma membrane
skg6,cellular bud tip
skg6,cellular bud neck
skg6,cell cortex
skg6,membrane
skg6,integral component of membrane
ctr9,nucleus
ctr9,nucleoplasm
ctr9,Cdc73/Paf1 complex
ctr9,transcriptionally active chromatin
maf1,nucleus
maf1,nucleolus
maf1,cytoplasm
glc8,protein phosphatase type 1 complex
glc8,nucleus
glc8,cytoplasm
yhl041w,cellular_component unknown
ura7,fungal-type vacuole
ura7,cytoplasm
ura7,cytoophidium
bub1,kinetochore
bub1,condensed nuclear chromosome kinetochore
bub1,"condensed nuclear chromosome, centromeric region"
bub1,nucleus
ylr126c,nucleus
ylr126c,cytoplasm
ylr126c,nuclear periphery
fpr3,nucleus
fpr3,nucleolus
fpr3,endoplasmic reticulum membrane
fpr3,membrane
pbp4,nucleus
pbp4,cytoplasm
pbp4,cytoplasmic stress granule
pre10,proteasome complex
pre10,nucleus
pre10,cytoplasm
pre10,proteasome core complex
pre10,"proteasome core complex, alpha-subunit complex"
pre10,proteasome storage granule
pre10,nuclear outer membrane-endoplasmic reticulum membrane network
tfa2,nucleus
tfa2,transcription factor TFIIE complex
tfa2,transcriptional preinitiation complex
yml003w,cellular_component unknown
mtg1,nucleus
mtg1,mitochondrion
mtg1,mitochondrial inner membrane
mtg1,membrane
yer010c,cellular_component unknown
cus2,spliceosomal complex
cus2,U2-type spliceosomal complex
cus2,U2 snRNP
hom2,nucleus
hom2,cytoplasm
hom2,plasma membrane
srf1,fungal-type vacuole
srf1,membrane
srf1,integral component of membrane
srf1,cell periphery
hxt5,plasma membrane
hxt5,integral component of plasma membrane
hxt5,membrane
hxt5,integral component of membrane
hxt5,cell periphery
gpr1,plasma membrane
gpr1,membrane
gpr1,integral component of membrane
cdc31,nucleotide-excision repair factor 2 complex
cdc31,nucleus
cdc31,nuclear pore
cdc31,cytoplasm
cdc31,spindle pole body
cdc31,half bridge of spindle pole body
cdc31,cytoskeleton
cdc31,integral component of membrane
cdc31,transcription export complex 2
ycr102c,cellular_component unknown
prp38,nucleus
prp38,spliceosomal complex
prp38,intracellular ribonucleoprotein complex
prp38,U4/U6 x U5 tri-snRNP complex
prp38,precatalytic spliceosome
ydr042c,cellular_component unknown
swc4,histone acetyltransferase complex
swc4,Swr1 complex
swc4,nucleus
swc4,NuA4 histone acetyltransferase complex
pup2,proteasome complex
pup2,nucleus
pup2,cytoplasm
pup2,proteasome core complex
pup2,"proteasome core complex, alpha-subunit complex"
pup2,proteasome storage granule
pup2,nuclear outer membrane-endoplasmic reticulum membrane network
ymr253c,cytoplasm
ymr253c,membrane
ymr253c,integral component of membrane
smt3,condensed nuclear chromosome
smt3,nucleus
smt3,septin ring
yel014c,cellular_component unknown
yel014c,cytoplasm
fas2,cytoplasm
fas2,mitochondrion
fas2,cytosol
fas2,fatty acid synthase complex
pso2,"nuclear chromosome, telomeric region"
pso2,nucleus
rpa135,nucleus
rpa135,nucleolus
rpa135,DNA-directed RNA polymerase I complex
rpl13ap,intracellular
rpl13ap,cytoplasm
rpl13ap,ribosome
rpl13ap,cytosolic large ribosomal subunit
rpl13ap,intracellular ribonucleoprotein complex
thp3,nucleus
thp3,transcriptionally active chromatin
pep3,extrinsic component of vacuolar membrane
pep3,fungal-type vacuole membrane
pep3,vacuole
pep3,vacuolar membrane
pep3,cytosol
pep3,membrane
pep3,HOPS complex
pep3,CORVET complex
pep3,proteasome storage granule
rsm22,mitochondrion
rsm22,mitochondrial small ribosomal subunit
rsm22,ribosome
rsm22,intracellular ribonucleoprotein complex
lam5,cellular_component unknown
lam5,endoplasmic reticulum
lam5,endoplasmic reticulum membrane
lam5,membrane
lam5,integral component of membrane
lam5,ER-mitochondrion membrane contact site
lam5,nucleus-vacuole junction
kgd2,mitochondrion
kgd2,mitochondrial oxoglutarate dehydrogenase complex
kgd2,mitochondrial nucleoid
kgd2,oxoglutarate dehydrogenase complex
msn5,nucleus
msn5,cytoplasm
msn5,integral component of membrane
msn5,RNA nuclear export complex
png1,nucleus
png1,cytoplasm
png1,mitochondrion
png1,cytosol
kar3,spindle pole
kar3,nucleus
kar3,cytoplasm
kar3,spindle pole body
kar3,cytoskeleton
kar3,microtubule
kar3,microtubule associated complex
kar3,cytoplasmic microtubule
kar3,integral component of membrane
sub1,nucleus
sub1,transcription factor complex
rgs2,nucleus
rgs2,cytoplasm
rgs2,plasma membrane
oca4,cytoplasm
ssn2,nucleus
ssn2,mediator complex
sof1,nucleus
sof1,nucleolus
sof1,intracellular ribonucleoprotein complex
sof1,90S preribosome
sof1,small-subunit processome
sof1,Cul4-RING E3 ubiquitin ligase complex
pat1,kinetochore
pat1,P-body
pat1,nucleus
pat1,cytoplasm
pat1,cytoplasmic stress granule
pat1,cytosolic small ribosomal subunit
pat1,Lsm1-7-Pat1 complex
dif1,nucleus
dif1,cytoplasm
yfl064c,cellular_component unknown
dug3,cytoplasm
dug3,glutathione hydrolase complex
mrpl7,intracellular
mrpl7,mitochondrion
mrpl7,mitochondrial large ribosomal subunit
mrpl7,ribosome
mrpl7,cytosolic large ribosomal subunit
mrpl7,intracellular ribonucleoprotein complex
gzf3,nucleus
gzf3,transcription factor complex
nth2,cytoplasm
nth2,mitochondrion
ula1,cellular_component unknown
ula1,nucleus
ula1,cytosol
nap1,nuclear nucleosome
nap1,nucleus
nap1,cytoplasm
nap1,cellular bud neck
ime1,nucleus
sld2,nucleus
sld2,cytoplasm
sld2,DNA replication preinitiation complex
mog1,nucleus
ypr127w,nucleus
ypr127w,cytoplasm
nop14,nucleus
nop14,nucleolus
nop14,mitochondrion
nop14,intracellular ribonucleoprotein complex
nop14,90S preribosome
nop14,Noc4p-Nop14p complex
nop14,small-subunit processome
ybr241c,fungal-type vacuole membrane
ybr241c,vacuole
ybr241c,vacuolar membrane
ybr241c,membrane
ybr241c,integral component of membrane
opt1,plasma membrane
opt1,integral component of plasma membrane
opt1,membrane
opt1,integral component of membrane
hsh155,nucleus
hsh155,spliceosomal complex
hsh155,U2 snRNP
hsh155,U12-type spliceosomal complex
hsh155,U2-type prespliceosome
hsh155,catalytic step 2 spliceosome
prm4,fungal-type vacuole
prm4,cell
prm4,membrane
prm4,integral component of membrane
ubp7,cytoplasm
skg3,cytoplasm
skg3,plasma membrane
skg3,cellular bud
skg3,cellular bud tip
skg3,cellular bud neck
skg3,membrane
rfa2,"chromosome, telomeric region"
rfa2,condensed nuclear chromosome
rfa2,nucleus
rfa2,DNA replication factor A complex
cys3,nucleus
cys3,cytoplasm
ykl133c,cellular_component unknown
ykl133c,mitochondrion
ykl133c,membrane
ykl133c,integral component of membrane
ykl133c,i-AAA complex
bmh2,nucleus
bmh2,cytoplasm
bmh2,plasma membrane
pxa2,peroxisome
pxa2,peroxisomal membrane
pxa2,integral component of peroxisomal membrane
pxa2,membrane
pxa2,integral component of membrane
nmd3,nucleus
nmd3,nucleoplasm
nmd3,cytoplasm
nmd3,cytosol
nmd3,cytosolic large ribosomal subunit
nmd3,"preribosome, large subunit precursor"
nup100,nucleus
nup100,nuclear pore
nup100,membrane
nup100,integral component of membrane
nup100,nuclear membrane
nup100,nuclear pore central transport channel
nup100,nuclear pore cytoplasmic filaments
yap6,nucleus
mbr1,cellular_component unknown
mbr1,mitochondrion
vps63,cellular_component unknown
esp1,nucleus
esp1,cytoplasm
esp1,mitochondrion
esp1,centrosome
esp1,spindle pole body
esp1,spindle
esp1,cytoskeleton
esp1,mitotic spindle
sor2,cellular_component unknown
ser3,cytoplasm
mix17,nucleus
mix17,cytoplasm
mix17,mitochondrion
mix17,mitochondrial intermembrane space
bmt5,nucleus
bmt5,nucleolus
bmt5,cytoplasm
cbc2,commitment complex
cbc2,nucleus
cbc2,cytoplasm
cbc2,nuclear cap binding complex
cbc2,perinuclear region of cytoplasm
ypr202w,cellular_component unknown
mic19,cytoplasm
mic19,mitochondrion
mic19,mitochondrial inner membrane
mic19,mitochondrial intermembrane space
mic19,membrane
mic19,extrinsic component of mitochondrial inner membrane
mic19,mitochondrial crista junction
mic19,MICOS complex
ser33,cytoplasm
yhl008c,fungal-type vacuole
yhl008c,integral component of plasma membrane
yhl008c,membrane
yhl008c,integral component of membrane
nbp1,integral component of nuclear inner membrane
nbp1,spindle pole body
nbp1,central plaque of spindle pole body
mpa43,mitochondrion
rsc1,nucleus
rsc1,RSC complex
spt6,nucleus
spt6,mitochondrion
spt6,transcription elongation factor complex
spt6,transcriptionally active chromatin
alg2,endoplasmic reticulum
alg2,endoplasmic reticulum membrane
alg2,membrane
alg2,integral component of membrane
tmc1,nucleus
ygl230c,cellular_component unknown
ygl230c,mitochondrion
ygl230c,endoplasmic reticulum
ygl230c,membrane
ygl230c,integral component of membrane
css3,cellular_component unknown
css3,extracellular region
css3,cytoplasm
css3,cell periphery
opy1,cytoplasm
opy1,mitochondrion
mba1,mitochondrion
mba1,mitochondrial inner membrane
mba1,membrane
gcv1,cytoplasm
gcv1,mitochondrion
gcv1,glycine cleavage complex
tbs1,nucleus
tbs1,cytoplasm
tbs1,mitochondrion
tbs1,membrane
tbs1,integral component of membrane
tbs1,nuclear membrane
tbs1,mitochondrial membrane
yir042c,cellular_component unknown
yir042c,cytoplasm
avt6,fungal-type vacuole
avt6,fungal-type vacuole membrane
avt6,vacuole
avt6,vacuolar membrane
avt6,membrane
avt6,integral component of membrane
ymr196w,cytoplasm
ymr196w,endoplasmic reticulum membrane
sno4,P-body
sno4,cellular_component unknown
sno4,cytoplasm
ctr86,nucleus
ctr86,cytoplasm
rad30,nucleus
rad30,replication fork
rad30,mitochondrion
mmp1,vacuole
mmp1,endoplasmic reticulum
mmp1,plasma membrane
mmp1,integral component of plasma membrane
mmp1,membrane
mmp1,integral component of membrane
mmp1,cell periphery
fob1,nucleus
fob1,nucleolus
fob1,rDNA heterochromatin
vba5,vacuole
vba5,vacuolar membrane
vba5,plasma membrane
vba5,membrane
vba5,integral component of membrane
mct1,mitochondrion
lcd1,nuclear chromosome
lcd1,nucleus
lcd1,cytoplasm
thi6,cytoplasm
thi6,cytosol
mod5,nucleus
mod5,nucleolus
mod5,cytoplasm
mod5,mitochondrion
mod5,cytosol
met22,cellular_component unknown
met22,nucleus
met22,cytoplasm
yhr213w,cellular_component unknown
ssl1,nucleotide-excision repair factor 3 complex
ssl1,core TFIIH complex
ssl1,intracellular
ssl1,nucleus
ssl1,holo TFIIH complex
scd5,nucleus
scd5,membrane
scd5,actin cortical patch
ydr124w,cellular_component unknown
tim17,mitochondrion
tim17,mitochondrial inner membrane
tim17,mitochondrial inner membrane presequence translocase complex
tim17,membrane
tim17,integral component of membrane
tim17,integral component of mitochondrial inner membrane
mcm2,nucleus
mcm2,nuclear pre-replicative complex
mcm2,cytoplasm
mcm2,DNA replication preinitiation complex
mcm2,replication fork protection complex
mcm2,MCM complex
pau4,fungal-type vacuole
pau4,cellular_component unknown
pau4,fungal-type cell wall
pau4,membrane
pau4,integral component of membrane
ylr050c,endoplasmic reticulum
ylr050c,endoplasmic reticulum membrane
ylr050c,membrane
ylr050c,integral component of membrane
mck1,cellular_component unknown
oca6,cytoplasm
pik1,nucleus
pik1,trans-Golgi network
yor296w,cytoplasm
gyp6,intracellular
gyp6,cytoplasm
gyp6,endosome
gyp6,autophagosome
gyp6,trans-Golgi network
gyp6,cytosol
gyp6,endosome membrane
gyp6,clathrin-coated vesicle
mms1,nucleus
mms1,Cul8-RING ubiquitin ligase complex
ydr274c,cellular_component unknown
prb1,fungal-type vacuole
prb1,fungal-type vacuole lumen
prb1,ascospore wall
prb1,vacuole
rps18bp,intracellular
rps18bp,cytoplasm
rps18bp,mitochondrion
rps18bp,cytosol
rps18bp,ribosome
rps18bp,small ribosomal subunit
rps18bp,cytosolic small ribosomal subunit
rps18bp,intracellular ribonucleoprotein complex
uba3,nucleus
uba3,cytoplasm
uba3,cytosol
ivy1,fungal-type vacuole membrane
ivy1,vacuole
ivy1,vacuolar membrane
ivy1,membrane
poa1,cellular_component unknown
inh1,mitochondrion
bmh1,nucleus
bmh1,cytoplasm
bmh1,plasma membrane
bmh1,cytoplasmic stress granule
gsf2,cytoplasm
gsf2,mitochondrial outer membrane
gsf2,endoplasmic reticulum
gsf2,endoplasmic reticulum membrane
gsf2,membrane
gsf2,integral component of membrane
gsf2,integral component of endoplasmic reticulum membrane
stp2,intracellular
stp2,nucleus
stp2,cytoplasm
stp2,plasma membrane
stp2,membrane
scs3,endoplasmic reticulum
scs3,endoplasmic reticulum membrane
scs3,membrane
scs3,integral component of membrane
scs3,integral component of endoplasmic reticulum membrane
mch2,membrane
mch2,integral component of membrane
mch2,integral component of fungal-type vacuolar membrane
prx1,mitochondrion
rps31,intracellular
rps31,nucleus
rps31,cytoplasm
rps31,ribosome
rps31,cytosolic small ribosomal subunit
rps31,intracellular ribonucleoprotein complex
rrn9,RNA polymerase I upstream activating factor complex
rrn9,nucleus
rrn9,nucleolus
gsp1,nucleus
gsp1,cytoplasm
gsp1,cytosol
gsp1,integral component of membrane
ecm22,nucleus
ecm22,cytoplasm
ecm22,membrane
ecm22,perinuclear region of cytoplasm
pho92,cellular_component unknown
pho92,cytoplasm
toh1,extracellular region
toh1,mitochondrion
toh1,endoplasmic reticulum
toh1,plasma membrane
toh1,fungal-type cell wall
toh1,cell surface
toh1,membrane
toh1,anchored component of membrane
bfa1,spindle pole
bfa1,cytoplasm
bfa1,spindle pole body
bfa1,cytoskeleton
bfa1,mitotic spindle pole body
bfa1,Bfa1-Bub2 complex
mak11,nucleus
mak11,nucleolus
mak11,membrane
mak11,nuclear membrane
nrp1,intracellular
nrp1,cytoplasm
nrp1,cytoplasmic stress granule
rps29ap,intracellular
rps29ap,cytoplasm
rps29ap,ribosome
rps29ap,cytosolic small ribosomal subunit
rps29ap,intracellular ribonucleoprotein complex
vid22,nucleus
vid22,vacuole
vid22,plasma membrane
vid22,integral component of plasma membrane
vid22,membrane
vid22,integral component of membrane
vps1,fungal-type vacuole membrane
vps1,cytoplasm
vps1,mitochondrion
vps1,mitochondrial outer membrane
vps1,late endosome
vps1,peroxisome
vps1,cytosol
vps1,cytoskeleton
vps1,microtubule
vps1,actin cortical patch
lys1,cytoplasm
dyn1,astral microtubule
dyn1,cytoplasm
dyn1,spindle pole body
dyn1,cytoskeleton
dyn1,cytoplasmic dynein complex
dyn1,microtubule
dyn1,cytoplasmic microtubule
dyn1,cell cortex
dyn1,dynein complex
pdr1,nucleus
pdr1,cytosol
mot3,intracellular
mot3,nucleus
mot3,cytosol
tcp1,cytoplasm
tcp1,chaperonin-containing T-complex
tcp1,plasma membrane
cir1,mitochondrion
cir1,mitochondrial matrix
cir1,mitochondrial electron transfer flavoprotein complex
asp1,intracellular
asp1,cytoplasm
asp1,cell wall-bounded periplasmic space
ylr456w,cellular_component unknown
ylr456w,nucleus
ylr456w,cytoplasm
cox5ap,mitochondrion
cox5ap,mitochondrial inner membrane
cox5ap,mitochondrial respiratory chain complex IV
cox5ap,membrane
cox5ap,integral component of membrane
ssn8,cyclin-dependent protein kinase holoenzyme complex
ssn8,nucleus
ssn8,"DNA-directed RNA polymerase II, holoenzyme"
ssn8,mediator complex
prp31,nucleus
prp31,spliceosomal complex
prp31,U4 snRNP
prp31,U4atac snRNP
prp31,mitochondrion
prp31,intracellular ribonucleoprotein complex
prp31,U4/U6 x U5 tri-snRNP complex
prp31,precatalytic spliceosome
ost4,mitochondrion
ost4,endoplasmic reticulum
ost4,endoplasmic reticulum membrane
ost4,oligosaccharyltransferase complex
ost4,membrane
ost4,integral component of membrane
dbp1,cytoplasm
dbp1,cytoplasmic ribonucleoprotein granule
arv1,Golgi membrane
arv1,endoplasmic reticulum
arv1,endoplasmic reticulum membrane
arv1,Golgi apparatus
arv1,membrane
arv1,integral component of membrane
arv1,cortical endoplasmic reticulum
bat2,nucleus
bat2,cytoplasm
bat2,mitochondrion
icy1,fungal-type vacuole membrane
icy1,vacuole
icy1,vacuolar membrane
icy1,membrane
duf1,cytoplasm
ynl134c,nucleus
ynl134c,cytoplasm
ycr051w,nucleus
ycr051w,cytoplasm
rrt6,membrane
rrt6,integral component of membrane
yal037w,cellular_component unknown
ypl199c,cytoplasm
ypl199c,cell periphery
mic12,mitochondrion
mic12,mitochondrial inner membrane
mic12,membrane
mic12,integral component of membrane
mic12,integral component of mitochondrial inner membrane
mic12,mitochondrial crista junction
mic12,MICOS complex
rpo41,cytoplasm
rpo41,mitochondrion
rpo41,mitochondrial matrix
rpo41,mitochondrial DNA-directed RNA polymerase complex
rpo41,mitochondrial nucleoid
cwc2,Prp19 complex
cwc2,nucleus
cwc2,spliceosomal complex
cwc2,U2-type catalytic step 1 spliceosome
cwc2,U2-type catalytic step 2 spliceosome
mmf1,mitochondrion
mmf1,mitochondrial matrix
esf1,nucleus
esf1,nucleolus
cse2,nucleus
cse2,cytosol
cse2,mediator complex
cse2,core mediator complex
sur1,Golgi membrane
sur1,fungal-type vacuole
sur1,fungal-type vacuole membrane
sur1,intracellular
sur1,membrane
sur1,integral component of membrane
pho4,nucleus
pho4,cytoplasm
cda2,chitosan layer of spore wall
cda2,membrane
psd1,mitochondrion
psd1,mitochondrial inner membrane
psd1,membrane
psd1,integral component of membrane
psd1,integral component of mitochondrial inner membrane
trm5,nucleus
trm5,cytoplasm
trm5,mitochondrion
trm5,mitochondrial matrix
tfb3,nucleus
tfb3,holo TFIIH complex
