proteinname,go_IC
rpl18bp,RNA binding
rpl18bp,structural constituent of ribosome
fet3,ferroxidase activity
fet3,iron ion transmembrane transporter activity
fet3,copper ion binding
fet3,oxidoreductase activity
fet3,metal ion binding
apn1,DNA binding
apn1,DNA-(apurinic or apyrimidinic site) lyase activity
apn1,endonuclease activity
apn1,phosphoric diester hydrolase activity
apn1,zinc ion binding
apn1,double-stranded DNA 3'-5' exodeoxyribonuclease activity
apn1,lyase activity
apn1,3'-tyrosyl-DNA phosphodiesterase activity
apn1,metal ion binding
snf2,nucleotide binding
snf2,rDNA binding
snf2,RNA polymerase II activating transcription factor binding
snf2,nucleic acid binding
snf2,DNA binding
snf2,helicase activity
snf2,ATP binding
snf2,DNA-dependent ATPase activity
snf2,DNA translocase activity
snf2,hydrolase activity
snf2,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
snf2,nucleosomal DNA binding
snf2,histone binding
snf2,lysine-acetylated histone binding
utp14,nucleotide binding
utp14,molecular_function unknown
utp14,ATP binding
ydr061w,nucleotide binding
ydr061w,molecular_function unknown
ydr061w,ATP binding
ydr061w,ATPase activity
ydr061w,nucleoside-triphosphatase activity
rps17ap,structural constituent of ribosome
rix1,chromatin binding
pmp3,molecular_function unknown
pmp3,phosphatidylinositol-3-phosphate binding
pmp3,sphingolipid binding
pmp3,phosphatidic acid binding
pmp3,"phosphatidylinositol-3,5-bisphosphate binding"
yke2,tubulin binding
yke2,unfolded protein binding
yke2,chaperone binding
ymr321c,molecular_function unknown
ymr321c,methyltransferase activity
ymr321c,S-adenosylmethionine-homocysteine S-methyltransferase activity
ymr321c,transferase activity
tmt1,methyltransferase activity
tmt1,transferase activity
tmt1,trans-aconitate 3-methyltransferase activity
rex3,3'-5'-exoribonuclease activity
rex3,nucleic acid binding
rex3,nuclease activity
rex3,exonuclease activity
rex3,3'-5' exonuclease activity
rex3,hydrolase activity
apl2,protein transporter activity
apl2,clathrin binding
ydl183c,molecular_function unknown
osh6,oxysterol binding
osh6,lipid binding
osh6,phosphatidylinositol-5-phosphate binding
osh6,"phosphatidylinositol-3,4-bisphosphate binding"
osh6,phosphatidylinositol-4-phosphate binding
osh6,phosphatidic acid binding
osh6,"phosphatidylinositol-3,5-bisphosphate binding"
ypl278c,molecular_function unknown
shh3,succinate dehydrogenase activity
shh3,molecular_function unknown
shh3,electron carrier activity
shh3,"oxidoreductase activity, acting on the CH-CH group of donors"
shh3,metal ion binding
shh3,quinone binding
stb3,sequence-specific DNA binding
ycl049c,molecular_function unknown
sgt1,"protein binding, bridging"
sgt1,chaperone binding
sef1,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
sef1,molecular_function unknown
sef1,DNA binding
sef1,zinc ion binding
sef1,metal ion binding
rmd9,molecular_function unknown
rmd9,mRNA binding
scs7,iron ion binding
scs7,oxidoreductase activity
scs7,heme binding
scs7,metal ion binding
scs7,fatty acid alpha-hydroxylase activity
rpn7,structural molecule activity
tif4631,DNA binding
tif4631,RNA binding
tif4631,mRNA binding
tif4631,translation initiation factor activity
urc2,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
urc2,RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
urc2,DNA binding
urc2,zinc ion binding
urc2,sequence-specific DNA binding
urc2,metal ion binding
def1,molecular_function unknown
def1,DNA binding
idp3,magnesium ion binding
idp3,isocitrate dehydrogenase (NADP+) activity
idp3,oxidoreductase activity
idp3,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
idp3,metal ion binding
idp3,NAD binding
ykl023w,molecular_function unknown
osm1,succinate dehydrogenase activity
osm1,electron carrier activity
osm1,fumarate reductase (NADH) activity
osm1,oxidoreductase activity
cdc36,ubiquitin-protein transferase activity
mil1,molecular_function unknown
mcm22,molecular_function unknown
pds5,structural molecule activity
ski8,molecular_function unknown
crz1,core promoter proximal region sequence-specific DNA binding
crz1,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"
crz1,nucleic acid binding
crz1,DNA binding
crz1,zinc ion binding
crz1,sequence-specific DNA binding
crz1,metal ion binding
gcd7,translation initiation factor activity
gcd7,guanyl-nucleotide exchange factor activity
gcd7,enzyme regulator activity
gcd7,S-methyl-5-thioribose-1-phosphate isomerase activity
tda10,nucleotide binding
tda10,uridine kinase activity
tda10,ATP binding
tda10,kinase activity
tda10,transferase activity
ydr210w,molecular_function unknown
pog1,core promoter binding
pog1,molecular_function unknown
ptp1,phosphoprotein phosphatase activity
ptp1,protein tyrosine phosphatase activity
ptp1,hydrolase activity
ptp1,phosphatase activity
hmf1,molecular_function unknown
rsm7,RNA binding
rsm7,mRNA binding
rsm7,structural constituent of ribosome
rsm7,rRNA binding
ask10,molecular_function unknown
ask10,phospholipid binding
ask10,channel regulator activity
agp1,amino acid transmembrane transporter activity
agp1,L-proline transmembrane transporter activity
agp1,antiporter activity
sec6,SNARE binding
sec6,protein homodimerization activity
yvh1,phosphoprotein phosphatase activity
yvh1,protein tyrosine phosphatase activity
yvh1,protein tyrosine/serine/threonine phosphatase activity
yvh1,hydrolase activity
yvh1,phosphatase activity
thg1,nucleotide binding
thg1,magnesium ion binding
thg1,GTP binding
thg1,tRNA guanylyltransferase activity
thg1,transferase activity
thg1,nucleotidyltransferase activity
thg1,metal ion binding
sol1,molecular_function unknown
sol1,6-phosphogluconolactonase activity
yol085c,molecular_function unknown
rog1,lipase activity
rog1,hydrolase activity
rog1,"hydrolase activity, acting on ester bonds"
rog1,acylglycerol lipase activity
tex1,molecular_function unknown
tex1,mRNA binding
gip4,protein phosphatase 1 binding
gip4,protein phosphatase regulator activity
ldb7,DNA translocase activity
rvb1,nucleotide binding
rvb1,DNA helicase activity
rvb1,helicase activity
rvb1,ATP binding
rvb1,hydrolase activity
rvb1,nucleoside-triphosphatase activity
rvb1,ATP-dependent 3'-5' DNA helicase activity
rvb1,ATP-dependent 5'-3' DNA helicase activity
pop3,ribonuclease MRP activity
pop3,ribonuclease P activity
clb1,cyclin-dependent protein serine/threonine kinase regulator activity
clb1,protein kinase binding
ypt10,nucleotide binding
ypt10,GTPase activity
ypt10,GTP binding
ypt10,guanyl nucleotide binding
swc5,molecular_function unknown
rpa34,RNA polymerase I activity
rpa34,molecular_function unknown
rpa34,DNA-directed 5'-3' RNA polymerase activity
rgi2,molecular_function unknown
mrpl28,structural constituent of ribosome
tyr1,nucleotide binding
tyr1,prephenate dehydrogenase (NADP+) activity
tyr1,prephenate dehydrogenase (NAD+) activity
tyr1,oxidoreductase activity
tyr1,NAD+ binding
lge1,molecular_function unknown
bud8,molecular_function unknown
rpl40ap,structural constituent of ribosome
rpl40ap,protein tag
acc1,nucleotide binding
acc1,catalytic activity
acc1,acetyl-CoA carboxylase activity
acc1,biotin carboxylase activity
acc1,ATP binding
acc1,ligase activity
acc1,metal ion binding
msp1,nucleotide binding
msp1,ATP binding
msp1,microtubule-severing ATPase activity
msp1,ATPase activity
msp1,nucleoside-triphosphatase activity
bzz1,molecular_function unknown
bzz1,enzyme activator activity
cdc26,ubiquitin-protein transferase activity
spi1,molecular_function unknown
spi1,structural constituent of cell wall
prm1,molecular_function unknown
urh1,purine nucleosidase activity
urh1,hydrolase activity
urh1,"hydrolase activity, acting on glycosyl bonds"
urh1,"hydrolase activity, hydrolyzing N-glycosyl compounds"
urh1,uridine nucleosidase activity
urh1,ribosylpyrimidine nucleosidase activity
urh1,nicotinamide riboside hydrolase activity
urh1,nicotinic acid riboside hydrolase activity
mdm38,ribosome binding
chs6,molecular_function unknown
vps30,molecular_function unknown
vps30,1-phosphatidylinositol-3-kinase activity
shr5,palmitoyltransferase activity
shr5,protein-cysteine S-palmitoyltransferase activity
ypl257w,molecular_function unknown
skg6,molecular_function unknown
ctr9,RNA polymerase II core binding
ctr9,"transcription factor activity, RNA polymerase II transcription factor binding"
ctr9,DNA binding
ctr9,triplex DNA binding
ctr9,RNA polymerase II C-terminal domain phosphoserine binding
maf1,RNA polymerase III core binding
glc8,protein phosphatase inhibitor activity
glc8,enzyme activator activity
yhl041w,molecular_function unknown
ura7,nucleotide binding
ura7,CTP synthase activity
ura7,ATP binding
ura7,ligase activity
bub1,nucleotide binding
bub1,protein kinase activity
bub1,protein serine/threonine kinase activity
bub1,protein binding
bub1,ATP binding
bub1,kinase activity
bub1,transferase activity
bub1,"transferase activity, transferring phosphorus-containing groups"
ylr126c,molecular_function unknown
ylr126c,transferase activity
fpr3,peptidyl-prolyl cis-trans isomerase activity
fpr3,macrolide binding
fpr3,FK506 binding
fpr3,isomerase activity
pbp4,molecular_function unknown
pre10,mRNA binding
pre10,endopeptidase activity
pre10,threonine-type endopeptidase activity
pre10,peptidase activity
pre10,hydrolase activity
tfa2,RNA polymerase II core binding
tfa2,TFIIH-class transcription factor binding
tfa2,DNA binding
tfa2,single-stranded DNA binding
yml003w,molecular_function unknown
mtg1,nucleotide binding
mtg1,GTPase activity
mtg1,GTP binding
yer010c,molecular_function unknown
yer010c,oxaloacetate decarboxylase activity
yer010c,lyase activity
yer010c,metal ion binding
yer010c,4-hydroxy-4-methyl-2-oxoglutarate aldolase activity
cus2,nucleotide binding
cus2,nucleic acid binding
cus2,RNA binding
cus2,U2 snRNA binding
hom2,nucleotide binding
hom2,N-acetyl-gamma-glutamyl-phosphate reductase activity
hom2,aspartate-semialdehyde dehydrogenase activity
hom2,oxidoreductase activity
hom2,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
hom2,protein dimerization activity
hom2,NADP binding
hom2,NAD binding
srf1,molecular_function unknown
hxt5,transporter activity
hxt5,sugar
hxt5,proton symporter activity
hxt5,fructose transmembrane transporter activity
hxt5,glucose transmembrane transporter activity
hxt5,mannose transmembrane transporter activity
hxt5,transmembrane transporter activity
hxt5,substrate-specific transmembrane transporter activity
gpr1,signal transducer activity
gpr1,G-protein coupled receptor activity
gpr1,glucose binding
cdc31,structural constituent of cytoskeleton
cdc31,calcium ion binding
cdc31,protein binding
cdc31,metal ion binding
ycr102c,nucleotide binding
ycr102c,molecular_function unknown
ycr102c,zinc ion binding
ycr102c,oxidoreductase activity
prp38,molecular_function unknown
ydr042c,molecular_function unknown
swc4,DNA binding
swc4,chromatin binding
swc4,transcription corepressor activity
pup2,molecular_function unknown
pup2,endopeptidase activity
pup2,threonine-type endopeptidase activity
pup2,peptidase activity
pup2,hydrolase activity
ymr253c,molecular_function unknown
smt3,protein tag
yel014c,molecular_function unknown
fas2,nucleotide binding
fas2,magnesium ion binding
fas2,catalytic activity
fas2,fatty acid synthase activity
fas2,[acyl-carrier-protein] S-malonyltransferase activity
fas2,3-oxoacyl-[acyl-carrier-protein] synthase activity
fas2,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
fas2,fatty-acyl-CoA synthase activity
fas2,holo-[acyl-carrier-protein] synthase activity
fas2,oxidoreductase activity
fas2,transferase activity
fas2,metal ion binding
fas2,3-oxo-pimeloyl-[acp] methyl ester reductase activity
pso2,damaged DNA binding
pso2,nuclease activity
pso2,exonuclease activity
pso2,5'-3' exonuclease activity
pso2,hydrolase activity
pso2,5'-3' exodeoxyribonuclease activity
pso2,metal ion binding
rpa135,RNA polymerase I activity
rpa135,DNA binding
rpa135,DNA-directed 5'-3' RNA polymerase activity
rpa135,transferase activity
rpa135,nucleotidyltransferase activity
rpa135,ribonucleoside binding
rpa135,metal ion binding
rpl13ap,RNA binding
rpl13ap,structural constituent of ribosome
thp3,molecular_function unknown
pep3,zinc ion binding
pep3,"protein binding, bridging"
pep3,phosphatidylinositol binding
pep3,metal ion binding
rsm22,structural constituent of ribosome
rsm22,methyltransferase activity
rsm22,S-adenosylmethionine-dependent methyltransferase activity
rsm22,transferase activity
lam5,molecular_function unknown
lam5,sterol transporter activity
kgd2,dihydrolipoyllysine-residue succinyltransferase activity
kgd2,transferase activity
kgd2,"transferase activity, transferring acyl groups"
msn5,RNA binding
msn5,nuclear export signal receptor activity
msn5,protein binding
png1,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
png1,damaged DNA binding
png1,hydrolase activity
png1,metal ion binding
kar3,nucleotide binding
kar3,microtubule motor activity
kar3,ATP binding
kar3,microtubule binding
kar3,"ATP-dependent microtubule motor activity, minus-end-directed"
kar3,protein heterodimerization activity
sub1,DNA binding
sub1,chromatin binding
sub1,transcription coactivator activity
rgs2,GTPase activator activity
oca4,molecular_function unknown
oca4,protein tyrosine phosphatase activity
ssn2,RNA polymerase II transcription cofactor activity
ssn2,RNA polymerase II transcription coactivator activity
ssn2,"transcription factor activity, RNA polymerase II transcription factor recruiting"
sof1,molecular_function unknown
sof1,mRNA binding
pat1,molecular_function unknown
pat1,chromatin binding
pat1,RNA binding
pat1,mRNA binding
pat1,protein binding
dif1,molecular_function unknown
dif1,ribonucleoside-diphosphate reductase inhibitor activity
yfl064c,molecular_function unknown
dug3,gamma-glutamyltransferase activity
dug3,amidophosphoribosyltransferase activity
dug3,peptidase activity
dug3,omega peptidase activity
dug3,transferase activity
dug3,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor"
mrpl7,structural constituent of ribosome
gzf3,RNA polymerase II regulatory region sequence-specific DNA binding
gzf3,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
gzf3,RNA polymerase II transcription factor binding
gzf3,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding"
gzf3,DNA binding
gzf3,chromatin binding
gzf3,"transcription factor activity, sequence-specific DNA binding"
gzf3,zinc ion binding
gzf3,sequence-specific DNA binding
gzf3,metal ion binding
nth2,catalytic activity
nth2,"alpha,alpha-trehalase activity"
nth2,calcium ion binding
nth2,hydrolase activity
nth2,"hydrolase activity, acting on glycosyl bonds"
ula1,nucleotide binding
ula1,ATP binding
ula1,small protein activating enzyme activity
ula1,NEDD8 activating enzyme activity
nap1,DNA binding
nap1,enzyme activator activity
nap1,cyclin binding
nap1,histone binding
ime1,"transcription factor activity, protein binding"
ime1,"transcription factor activity, transcription factor binding"
sld2,DNA replication origin binding
sld2,single-stranded DNA binding
mog1,Ran GTPase binding
ypr127w,molecular_function unknown
ypr127w,oxidoreductase activity
ypr127w,pyridoxine
ypr127w,NADP 4-dehydrogenase activity
nop14,snoRNA binding
ybr241c,transporter activity
ybr241c,transmembrane transporter activity
ybr241c,substrate-specific transmembrane transporter activity
opt1,proton-dependent oligopeptide secondary active transmembrane transporter activity
opt1,oligopeptide transporter activity
hsh155,mRNA binding
prm4,molecular_function unknown
prm4,electron carrier activity
prm4,protein disulfide oxidoreductase activity
ubp7,thiol-dependent ubiquitin-specific protease activity
ubp7,peptidase activity
ubp7,cysteine-type peptidase activity
ubp7,hydrolase activity
ubp7,thiol-dependent ubiquitinyl hydrolase activity
skg3,molecular_function unknown
skg3,"signal transducer, downstream of receptor, with serine/threonine kinase activity"
skg3,phospholipid binding
rfa2,nucleic acid binding
rfa2,DNA binding
rfa2,double-stranded DNA binding
rfa2,single-stranded DNA binding
rfa2,sequence-specific DNA binding
cys3,catalytic activity
cys3,cystathionine gamma-synthase activity
cys3,cystathionine gamma-lyase activity
cys3,lyase activity
cys3,pyridoxal phosphate binding
cys3,L-cystine L-cysteine-lyase (deaminating)
cys3,L-cysteine desulfhydrase activity
ykl133c,molecular_function unknown
ykl133c,misfolded protein binding
bmh2,DNA replication origin binding
bmh2,protein domain specific binding
bmh2,phosphoserine binding
pxa2,nucleotide binding
pxa2,long-chain fatty acid transporter activity
pxa2,ATP binding
pxa2,ATPase activity
pxa2,nucleoside-triphosphatase activity
pxa2,"ATPase activity, coupled to transmembrane movement of substances"
nmd3,ribosomal large subunit binding
nup100,RNA binding
nup100,nucleocytoplasmic transporter activity
nup100,nuclear localization sequence binding
nup100,structural constituent of nuclear pore
yap6,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
yap6,"transcription factor activity, sequence-specific DNA binding transcription factor recruiting"
yap6,DNA binding
yap6,"transcription factor activity, sequence-specific DNA binding"
yap6,sequence-specific DNA binding
mbr1,molecular_function unknown
vps63,molecular_function unknown
esp1,cysteine-type endopeptidase activity
esp1,peptidase activity
esp1,cysteine-type peptidase activity
esp1,hydrolase activity
sor2,nucleotide binding
sor2,L-iditol 2-dehydrogenase activity
sor2,zinc ion binding
sor2,oxidoreductase activity
sor2,metal ion binding
ser3,nucleotide binding
ser3,phosphoglycerate dehydrogenase activity
ser3,oxidoreductase activity
ser3,amino acid binding
ser3,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
ser3,cofactor binding
ser3,NAD binding
ser3,alpha-ketoglutarate reductase activity
mix17,molecular_function unknown
bmt5,phenylalanine-tRNA ligase activity
bmt5,methyltransferase activity
bmt5,S-adenosylmethionine-dependent methyltransferase activity
bmt5,transferase activity
bmt5,rRNA (uridine-N3-)-methyltransferase activity
cbc2,nucleotide binding
cbc2,RNA cap binding
cbc2,nucleic acid binding
cbc2,RNA binding
ypr202w,molecular_function unknown
mic19,molecular_function unknown
ser33,nucleotide binding
ser33,phosphoglycerate dehydrogenase activity
ser33,oxidoreductase activity
ser33,amino acid binding
ser33,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
ser33,cofactor binding
ser33,NAD binding
ser33,alpha-ketoglutarate reductase activity
yhl008c,transporter activity
yhl008c,monocarboxylic acid transmembrane transporter activity
yhl008c,nitrite uptake transmembrane transporter activity
nbp1,lipid binding
mpa43,molecular_function unknown
mpa43,"phosphotransferase activity, alcohol group as acceptor"
rsc1,DNA binding
rsc1,chromatin binding
rsc1,DNA-dependent ATPase activity
rsc1,DNA translocase activity
spt6,"transcription factor activity, core RNA polymerase II binding"
spt6,"transcription antitermination factor activity, DNA binding"
spt6,nucleic acid binding
spt6,DNA binding
spt6,"hydrolase activity, acting on ester bonds"
spt6,nucleosome binding
spt6,histone binding
alg2,"alpha-1,3-mannosyltransferase activity"
alg2,GDP-Man
alg2,"Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity"
alg2,transferase activity
alg2,"transferase activity, transferring glycosyl groups"
alg2,glycolipid 6-alpha-mannosyltransferase activity
alg2,GDP-Man
alg2,"Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity"
tmc1,molecular_function unknown
tmc1,zinc ion binding
tmc1,metal ion binding
ygl230c,molecular_function unknown
css3,molecular_function unknown
opy1,molecular_function unknown
opy1,phospholipid binding
mba1,ribosome binding
gcv1,aminomethyltransferase activity
gcv1,glycine dehydrogenase (decarboxylating) activity
gcv1,transaminase activity
gcv1,transferase activity
tbs1,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
tbs1,DNA binding
tbs1,zinc ion binding
tbs1,sequence-specific DNA binding
tbs1,metal ion binding
yir042c,molecular_function unknown
yir042c,N-acetyltransferase activity
avt6,transporter activity
avt6,L-histidine transmembrane transporter activity
avt6,L-tyrosine transmembrane transporter activity
avt6,L-glutamate transmembrane transporter activity
avt6,L-aspartate transmembrane transporter activity
avt6,L-lysine transmembrane transporter activity
avt6,L-serine transmembrane transporter activity
avt6,L-arginine transmembrane transporter activity
ymr196w,molecular_function unknown
ymr196w,catalytic activity
ymr196w,mannosyl-oligosaccharide glucosidase activity
sno4,peptidase activity
sno4,cysteine-type peptidase activity
sno4,hydrolase activity
sno4,lyase activity
sno4,glyoxalase III activity
ctr86,molecular_function unknown
rad30,DNA binding
rad30,damaged DNA binding
rad30,DNA-directed DNA polymerase activity
rad30,transferase activity
rad30,nucleotidyltransferase activity
rad30,metal ion binding
mmp1,S-methylmethionine transmembrane transporter activity
mmp1,amino acid transmembrane transporter activity
mmp1,L-amino acid transmembrane transporter activity
mmp1,antiporter activity
fob1,DNA binding
fob1,rDNA spacer replication fork barrier binding
fob1,metal ion binding
vba5,molecular_function unknown
vba5,transmembrane transporter activity
mct1,[acyl-carrier-protein] S-malonyltransferase activity
mct1,transferase activity
mct1,"transferase activity, transferring acyl groups"
lcd1,damaged DNA binding
thi6,nucleotide binding
thi6,catalytic activity
thi6,hydroxyethylthiazole kinase activity
thi6,thiamine-phosphate diphosphorylase activity
thi6,ATP binding
thi6,kinase activity
thi6,transferase activity
thi6,metal ion binding
mod5,tRNA binding
mod5,nucleotide binding
mod5,ATP binding
mod5,transferase activity
mod5,metal ion binding
mod5,tRNA dimethylallyltransferase activity
met22,magnesium ion binding
met22,"3'(2'),5'-bisphosphate nucleotidase activity"
met22,hydrolase activity
met22,metal ion binding
yhr213w,molecular_function unknown
ssl1,"transcription factor activity, core RNA polymerase binding"
ssl1,nucleic acid binding
ssl1,zinc ion binding
ssl1,metal ion binding
ssl1,ubiquitin protein ligase activity
scd5,protein phosphatase 1 binding
ydr124w,molecular_function unknown
tim17,protein channel activity
tim17,P-P-bond-hydrolysis-driven protein transmembrane transporter activity
mcm2,nucleotide binding
mcm2,DNA binding
mcm2,DNA helicase activity
mcm2,chromatin binding
mcm2,DNA replication origin binding
mcm2,single-stranded DNA binding
mcm2,helicase activity
mcm2,ATP binding
mcm2,hydrolase activity
mcm2,single-stranded DNA-dependent ATP-dependent DNA helicase activity
mcm2,metal ion binding
pau4,molecular_function unknown
pau4,structural constituent of cell wall
ylr050c,molecular_function unknown
mck1,nucleotide binding
mck1,protein kinase activity
mck1,protein serine/threonine kinase activity
mck1,protein serine/threonine/tyrosine kinase activity
mck1,enzyme inhibitor activity
mck1,ATP binding
mck1,kinase activity
mck1,transferase activity
mck1,"transferase activity, transferring phosphorus-containing groups"
mck1,cyclin binding
oca6,molecular_function unknown
oca6,phosphoprotein phosphatase activity
oca6,protein tyrosine phosphatase activity
oca6,hydrolase activity
pik1,nucleotide binding
pik1,1-phosphatidylinositol 4-kinase activity
pik1,ATP binding
pik1,kinase activity
pik1,transferase activity
pik1,"transferase activity, transferring phosphorus-containing groups"
pik1,"phosphotransferase activity, alcohol group as acceptor"
yor296w,molecular_function unknown
gyp6,GTPase activator activity
gyp6,Rab GTPase binding
mms1,molecular_function unknown
ydr274c,molecular_function unknown
prb1,serine-type endopeptidase activity
prb1,peptidase activity
prb1,serine-type peptidase activity
prb1,hydrolase activity
prb1,identical protein binding
rps18bp,nucleic acid binding
rps18bp,RNA binding
rps18bp,structural constituent of ribosome
rps18bp,rRNA binding
uba3,nucleotide binding
uba3,catalytic activity
uba3,ATP binding
uba3,small protein activating enzyme activity
uba3,ligase activity
uba3,acid-amino acid ligase activity
uba3,NEDD8 activating enzyme activity
ivy1,phospholipid binding
poa1,hydrolase activity
poa1,phosphatase activity
poa1,ADP-ribosyl-[dinitrogen reductase] hydrolase activity
inh1,enzyme inhibitor activity
inh1,5-formyltetrahydrofolate cyclo-ligase activity
inh1,ATPase inhibitor activity
inh1,ATPase binding
bmh1,RNA polymerase II activating transcription factor binding
bmh1,DNA replication origin binding
bmh1,protein domain specific binding
bmh1,phosphoserine binding
gsf2,unfolded protein binding
stp2,RNA polymerase II core promoter proximal region sequence-specific DNA binding
stp2,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"
stp2,nucleic acid binding
stp2,DNA binding
stp2,zinc ion binding
stp2,sequence-specific DNA binding
stp2,metal ion binding
scs3,molecular_function unknown
mch2,transporter activity
mch2,monocarboxylic acid transmembrane transporter activity
mch2,symporter activity
prx1,peroxidase activity
prx1,thioredoxin peroxidase activity
prx1,antioxidant activity
prx1,oxidoreductase activity
prx1,peroxiredoxin activity
rps31,structural constituent of ribosome
rps31,protein tag
rps31,metal ion binding
rrn9,"transcription factor activity, RNA polymerase I upstream control element sequence-specific binding"
rrn9,TBP-class protein binding
gsp1,nucleotide binding
gsp1,GTPase activity
gsp1,GTP binding
ecm22,RNA polymerase II core promoter proximal region sequence-specific DNA binding
ecm22,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
ecm22,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"
ecm22,DNA binding
ecm22,zinc ion binding
ecm22,sequence-specific DNA binding
ecm22,metal ion binding
pho92,molecular_function unknown
pho92,RNA binding
pho92,mRNA 3'-UTR binding
toh1,molecular_function unknown
bfa1,GDP-dissociation inhibitor activity
bfa1,GTPase activator activity
mak11,molecular_function unknown
nrp1,nucleotide binding
nrp1,molecular_function unknown
nrp1,nucleic acid binding
nrp1,RNA binding
nrp1,zinc ion binding
nrp1,metal ion binding
rps29ap,structural constituent of ribosome
rps29ap,zinc ion binding
rps29ap,metal ion binding
vid22,molecular_function unknown
vid22,nucleic acid binding
vid22,DNA binding
vid22,metal ion binding
vps1,nucleotide binding
vps1,GTPase activity
vps1,GTP binding
vps1,microtubule binding
lys1,mRNA binding
lys1,"saccharopine dehydrogenase (NAD+, L-lysine-forming) activity"
lys1,oxidoreductase activity
dyn1,nucleotide binding
dyn1,motor activity
dyn1,microtubule motor activity
dyn1,ATP binding
dyn1,"ATP-dependent microtubule motor activity, minus-end-directed"
dyn1,ATPase activity
dyn1,nucleoside-triphosphatase activity
dyn1,minus-end directed microfilament motor activity
pdr1,RNA polymerase II core promoter proximal region sequence-specific DNA binding
pdr1,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
pdr1,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"
pdr1,DNA binding
pdr1,zinc ion binding
pdr1,sequence-specific DNA binding
pdr1,metal ion binding
mot3,RNA polymerase II core promoter proximal region sequence-specific DNA binding
mot3,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
mot3,RNA polymerase II activating transcription factor binding
mot3,RNA polymerase II repressing transcription factor binding
mot3,nucleic acid binding
mot3,zinc ion binding
mot3,metal ion binding
tcp1,nucleotide binding
tcp1,ATP binding
tcp1,protein binding involved in protein folding
tcp1,unfolded protein binding
cir1,molecular_function unknown
cir1,electron carrier activity
asp1,asparaginase activity
asp1,hydrolase activity
ylr456w,molecular_function unknown
ylr456w,pyridoxamine-phosphate oxidase activity
ylr456w,FMN binding
ylr456w,oxidoreductase activity
cox5ap,cytochrome-c oxidase activity
cox5ap,oxidoreductase activity
ssn8,RNA polymerase II core promoter sequence-specific DNA binding
ssn8,cyclin-dependent protein serine/threonine kinase regulator activity
ssn8,protein kinase binding
prp31,molecular_function unknown
prp31,RNA binding
ost4,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
ost4,transferase activity
ost4,"transferase activity, transferring glycosyl groups"
ost4,"protein binding, bridging"
dbp1,nucleotide binding
dbp1,nucleic acid binding
dbp1,RNA binding
dbp1,RNA helicase activity
dbp1,mRNA binding
dbp1,translation initiation factor activity
dbp1,ATP-dependent RNA helicase activity
dbp1,helicase activity
dbp1,ATP binding
dbp1,ATP-dependent helicase activity
dbp1,hydrolase activity
arv1,molecular_function unknown
bat2,catalytic activity
bat2,branched-chain-amino-acid transaminase activity
bat2,transaminase activity
bat2,transferase activity
bat2,pyridoxal phosphate binding
bat2,L-leucine transaminase activity
bat2,L-valine transaminase activity
bat2,L-isoleucine transaminase activity
icy1,molecular_function unknown
duf1,ubiquitin binding
ynl134c,nucleotide binding
ynl134c,aldehyde dehydrogenase (NAD) activity
ynl134c,alcohol dehydrogenase (NADP+) activity
ynl134c,zinc ion binding
ynl134c,oxidoreductase activity
ycr051w,molecular_function unknown
rrt6,molecular_function unknown
yal037w,molecular_function unknown
ypl199c,molecular_function unknown
mic12,molecular_function unknown
rpo41,mitochondrial RNA polymerase core promoter sequence-specific DNA binding
rpo41,DNA binding
rpo41,DNA primase activity
rpo41,DNA-directed 5'-3' RNA polymerase activity
rpo41,transferase activity
rpo41,nucleotidyltransferase activity
cwc2,nucleotide binding
cwc2,first spliceosomal transesterification activity
cwc2,second spliceosomal transesterification activity
cwc2,nucleic acid binding
cwc2,RNA binding
cwc2,zinc ion binding
cwc2,U6 snRNA binding
cwc2,pre-mRNA binding
