stdname,sysname
RCF1,YML030W
ORC1,YML065W
PIB2,YGL023C
MGR3,YMR115W
SUT2,YPR009W
MNN1,YER001W
Uncharacterized,YMR082C
CDC48,YDL126C
MES1,YGR264C
TAO3,YIL129C
Uncharacterized,YLR225C
DCS1,YLR270W
YAP1801,YHR161C
CAF130,YGR134W
WHI4,YDL224C
PUS6,YGR169C
LIF1,YGL090W
MEX67,YPL169C
CAF16,YFL028C
VID24,YBR105C
CTS2,YDR371W
UTP4,YDR324C
NHX1,YDR456W
Uncharacterized,YBL096C
SRX1,YKL086W
PSF2,YJL072C
CIR2,YOR356W
CDA1,YLR307W
CEX1,YOR112W
RPS23b,YPR132W
RPC25,YKL144C
Uncharacterized,YNL120C
NOP13,YNL175C
RSR1,YGR152C
PAD1,YDR538W
Uncharacterized,YHL026C
NIF3,YGL221C
FUR1,YHR128W
HOS4,YIL112W
RPL26b,YGR034W
HMS2,YJR147W
UIP3,YAR027W
SPO23,YBR250W
NDJ1,YOL104C
Uncharacterized,YKL071W
GPB2,YAL056W
PLM2,YDR501W
CPR8,YNR028W
TRL1,YJL087C
ODC1,YPL134C
SDD1,YEL057C
BUD13,YGL174W
QCR9,YGR183C
RPL33a,YPL143W
TSR2,YLR435W
Uncharacterized,YBL036C
RUD3,YOR216C
Uncharacterized,YLR358C
SEC2,YNL272C
KNH1,YDL049C
RPS11b,YBR048W
DYS1,YHR068W
RPF2,YKR081C
Uncharacterized,YNL205C
QCR2,YPR191W
TDA2,YER071C
Uncharacterized,YNR042W
MNN11,YJL183W
FIS1,YIL065C
DSL1,YNL258C
SIL1,YOL031C
PAU15,YIR041W
URA1,YKL216W
Uncharacterized,YOR338W
CAC2,YML102W
HEH2,YDR458C
MCY1,YGR012W
UBC6,YER100W
RAS2,YNL098C
Uncharacterized,YCR090C
PCK1,YKR097W
VMS1,YDR049W
RNR2,YJL026W
SRD1,YCR018C
RBK1,YCR036W
SSA3,YBL075C
TPS3,YMR261C
IMA1,YGR287C
ITC1,YGL133W
MTR10,YOR160W
ALD2,YMR170C
MRC1,YCL061C
Uncharacterized,YOR238W
Uncharacterized,YOR146W
ARX1,YDR101C
RNA14,YMR061W
Uncharacterized,YLR049C
NRG2,YBR066C
COP1,YDL145C
MPP10,YJR002W
NOP2,YNL061W
MNP1,YGL068W
HSP12,YFL014W
RRP1,YDR087C
Uncharacterized,YNL034W
VHS2,YIL135C
JNM1,YMR294W
PEX10,YDR265W
Uncharacterized,YOR283W
IPT1,YDR072C
STE3,YKL178C
YPQ2,YDR352W
GDI1,YER136W
MYO3,YKL129C
GAL80,YML051W
Uncharacterized,YML084W
GIT1,YCR098C
APL5,YPL195W
DPH5,YLR172C
CRR1,YLR213C
PRP28,YDR243C
CAF4,YKR036C
SSP1,YHR184W
APQ12,YIL040W
RPL27b,YDR471W
Uncharacterized,YOR015W
FUN30,YAL019W
NSG2,YNL156C
RPL26a,YLR344W
TCD1,YHR003C
FPR4,YLR449W
RTT106,YNL206C
Uncharacterized,YBR219C
PHO84,YML123C
LIP2,YLR239C
Uncharacterized,YNR063W
GCR1,YPL075W
Uncharacterized,YJL135W
PIR5,YJL160C
MDE1,YJR024C
MAK5,YBR142W
Uncharacterized,YDR338C
ERG1,YGR175C
RPL4b,YDR012W
Uncharacterized,YGL204C
VPS70,YJR126C
MET28,YIR017C
FAT3,YKL187C
FRE7,YOL152W
GPB1,YOR371C
Uncharacterized,YDR544C
YCH1,YGR203W
LAG1,YHL003C
SOD1,YJR104C
Uncharacterized,YBL086C
TRM13,YOL125W
TWF1,YGR080W
PLP1,YDR183W
Uncharacterized,YAR064W
FUN26,YAL022C
AVO1,YOL078W
SCT1,YBL011W
Uncharacterized,YNL226W
HPR1,YDR138W
FAA1,YOR317W
Uncharacterized,YBR277C
PEX14,YGL153W
ESA1,YOR244W
GIM4,YEL003W
DML1,YMR211W
GSP2,YOR185C
MID1,YNL291C
Uncharacterized,YHR218W
LPP1,YDR503C
IZH1,YDR492W
HUT1,YPL244C
Uncharacterized,YGR066C
PFK1,YGR240C
CCL1,YPR025C
TIF4632,YGL049C
NHP6a,YPR052C
BUD16,YEL029C
NUP60,YAR002W
CDC12,YHR107C
ECM11,YDR446W
BCH1,YMR237W
RFC5,YBR087W
RSC6,YCR052W
NSI1,YDR026C
PCL8,YPL219W
GSM1,YJL103C
GLK1,YCL040W
Uncharacterized,YCR064C
GUF1,YLR289W
FUM1,YPL262W
SSY1,YDR160W
HTZ1,YOL012C
BOP3,YNL042W
MRD1,YPR112C
MED6,YHR058C
IPI1,YHR085W
KRI1,YNL308C
RET3,YPL010W
UTR1,YJR049C
JIP5,YPR169W
ERV41,YML067C
HOM3,YER052C
PMI40,YER003C
EMP46,YLR080W
HEL1,YKR017C
ASE1,YOR058C
INA1,YLR413W
YFH1,YDL120W
FOL3,YMR113W
Uncharacterized,YMR084W
Uncharacterized,YPL162C
Uncharacterized,YGR127W
Uncharacterized,YNL028W
THP2,YHR167W
ALK1,YGL021W
IMA3,YIL172C
AVT3,YKL146W
ADY4,YLR227C
VMA5,YKL080W
TOS8,YGL096W
ELF1,YKL160W
AIM18,YHR198C
Uncharacterized,YBL094C
AGP3,YFL055W
TRK1,YJL129C
PNP1,YLR209C
PEX12,YMR026C
UBX3,YDL091C
SMC3,YJL074C
MRPL22,YNL177C
Uncharacterized,YKL162C
Uncharacterized,YOR114W
YSP2,YDR326C
MSS18,YPR134W
OSW7,YFR039C
OPI1,YHL020C
FAA3,YIL009W
KEG1,YFR042W
MSA1,YOR066W
MSC6,YOR354C
PEP12,YOR036W
RPS4a,YJR145C
COG1,YGL223C
GSC2,YGR032W
RPL7a,YGL076C
PHB1,YGR132C
Uncharacterized,YOL106W
Uncharacterized,YGL218W
RIB5,YBR256C
MED7,YOL135C
Uncharacterized,YGL118C
CLB6,YGR109C
LHS1,YKL073W
CPT1,YNL130C
MTC6,YHR151C
ARP4,YJL081C
TIM13,YGR181W
ADH6,YMR318C
LEU2,YCL018W
FRK1,YPL141C
Uncharacterized,YPR197C
SPR2,YOR214C
PET9,YBL030C
ALP1,YNL270C
Uncharacterized,YOR263C
Uncharacterized,YPL229W
FRE3,YOR381W
Uncharacterized,YLL054C
ALD5,YER073W
Uncharacterized,YGL176C
Uncharacterized,YNR040W
Uncharacterized,YHR020W
Uncharacterized,YIL067C
Uncharacterized,YLR012C
Uncharacterized,YIL089W
ZTA1,YBR046C
MSE1,YOL033W
ENV10,YLR065C
MRPS8,YMR158W
TSL1,YML100W
ELG1,YOR144C
APS3,YJL024C
Uncharacterized,YBR238C
FPR2,YDR519W
RAD6,YGL058W
BAS1,YKR099W
RPS8b,YER102W
Uncharacterized,YLR415C
ISC1,YER019W
RPL1b,YGL135W
DIP2,YLR129W
MET1,YKR069W
Uncharacterized,YBL077W
SAP30,YMR263W
NAS6,YGR232W
ORC2,YBR060C
HOT1,YMR172W
COX17,YLL009C
IDS2,YJL146W
ROY1,YMR258C
Uncharacterized,YCR043C
ELO2,YCR034W
STE5,YDR103W
PEX9,YMR018W
DAL81,YIR023W
Uncharacterized,YJL119C
DAL80,YKR034W
CCT4,YDL143W
SHB17,YKR043C
UBX4,YMR067C
CIA1,YDR267C
LCB1,YMR296C
MDS3,YGL197W
DOG1,YHR044C
NCE103,YNL036W
NUC1,YJL208C
Uncharacterized,YFL012W
YRR1,YOR162C
HSV2,YGR223C
RDL1,YOR285W
OST1,YJL002C
KRE6,YPR159W
TPS2,YDR074W
ATP25,YMR098C
OPY2,YPR075C
Uncharacterized,YML053C
IDP2,YLR174W
BUD26,YDR241W
PRS2,YER099C
GPA1,YHR005C
Uncharacterized,YPL238C
Uncharacterized,YJR120W
PRP3,YDR473C
PET127,YOR017W
ATG12,YBR217W
ATP10,YLR393W
YCK2,YNL154C
GCN20,YFR009W
MET30,YIL046W
AVT4,YNL101W
Uncharacterized,YNR065C
SUM1,YDR310C
LYS2,YBR115C
Uncharacterized,YPL073C
GLG2,YJL137C
PXP2,YJR111C
PDC2,YDR081C
RPR2,YIR015W
ADA2,YDR448W
NKP1,YDR383C
Uncharacterized,YDR526C
PRS1,YKL181W
Uncharacterized,YDR010C
VPS38,YLR360W
MSB3,YNL293W
Uncharacterized,YOL150C
Uncharacterized,YPR096C
Uncharacterized,YIL028W
Uncharacterized,YGR045C
PIL1,YGR086C
PGA3,YML125C
Uncharacterized,YDR509W
SYM1,YLR251W
SSE1,YPL106C
JSN1,YJR091C
NUT1,YGL151W
EFM2,YBR271W
LTE1,YAL024C
PUT4,YOR348C
PTC1,YDL006W
CEF1,YMR213W
UBP12,YJL197W
PEP1,YBL017C
Uncharacterized,YOR218C
FEX1,YOR390W
ART5,YGR068C
PSP1,YDR505C
Uncharacterized,YGL039W
Uncharacterized,YGR242W
RBD2,YPL246C
RRT13,YER066W
ENV9,YOR246C
CTM1,YHR109W
Uncharacterized,YPR050C
Uncharacterized,YGR293C
AAC3,YBR085W
NUD1,YOR373W
RPL14b,YHL001W
PRP11,YDL043C
IRC22,YEL001C
Uncharacterized,YNL184C
CUB1,YPL260W
FYV1,YDR024W
MCP1,YOR228C
MSR1,YHR091C
Uncharacterized,YOR082C
Uncharacterized,YMR111C
RCL1,YOL010W
ABP1,YCR088W
Uncharacterized,YCL042W
RTC3,YHR087W
RRP12,YPL012W
GRX7,YBR014C
MSS4,YDR208W
KIN28,YDL108W
FDO1,YMR144W
RPL17b,YJL177W
CTR3,YLR411W
YND1,YER005W
PKH1,YDR490C
Uncharacterized,YPL034W
RPC40,YPR110C
Uncharacterized,YLL037W
VBA4,YDR119W
SRL2,YLR082C
MLH2,YLR035C
UBP1,YDL122W
YRF1-2,YER190W
SRN2,YLR119W
SAT4,YCR008W
RSM18,YER050C
MPS1,YDL028C
PPH22,YDL188C
HUA1,YGR268C
KGD1,YIL125W
Uncharacterized,YNL171C
SDH1,YKL148C
NET1,YJL076W
Uncharacterized,YIL077C
PRP8,YHR165C
VPS65,YLR322W
TFA1,YKL028W
Uncharacterized,YKL053W
SET6,YPL165C
Uncharacterized,YDL228C
RRP14,YKL082C
TPK3,YKL166C
PMT5,YDL093W
MRPL3,YMR024W
Uncharacterized,YPR136C
RPO31,YOR116C
MET31,YPL038W
HRD3,YLR207W
SAP155,YFR040W
CKA2,YOR061W
SPO11,YHL022C
MET17,YLR303W
POP6,YGR030C
AKR2,YOR034C
PAN2,YGL094C
PTK2,YJR059W
Uncharacterized,YGR130C
MRPS35,YGR165W
Uncharacterized,YJR162C
SGF73,YGL066W
TRS20,YBR254C
MEC1,YBR136W
UIP4,YPL186C
SPP1,YPL138C
TAX4,YJL083W
Uncharacterized,YKL075C
PXA1,YPL147W
YAK1,YJL141C
GBP2,YCL011C
HGH1,YGR187C
Uncharacterized,YPR195C
EMC10,YDR056C
SIP1,YDR422C
Uncharacterized,YNL276C
HEK2,YBL032W
Uncharacterized,YLL056C
SSB2,YNL209W
TEN1,YLR010C
COS8,YHL048W
SNP1,YIL061C
ALK2,YBL009W
TRM112,YNR046W
Uncharacterized,YOL035C
VMA16,YHR026W
RTC4,YNL254C
PCL1,YNL289W
CBS2,YDR197W
URA5,YML106W
Uncharacterized,YBR062C
LSC1,YOR142W
Uncharacterized,YJL022W
ERR2,YPL281C
STM1,YLR150W
GLY1,YEL046C
RTT105,YER104W
ERG6,YML008C
MCH1,YDL054C
MAG2,YLR427W
MCM4,YPR019W
Uncharacterized,YMR265C
RPL6a,YML073C
TCM62,YBR044C
SEC27,YGL137W
GLO3,YER122C
DAL3,YIR032C
BUR6,YER159C
APE4,YHR113W
Uncharacterized,YCR041W
EMC3,YKL207W
YPT31,YER031C
MAL31,YBR298C
MRS1,YIR021W
ERP6,YGL002W
KAR5,YMR065W
POL31,YJR006W
SEN1,YLR430W
INM1,YHR046C
Uncharacterized,YKR041W
PHO86,YJL117W
GCN1,YGL195W
Uncharacterized,YMR130W
HAS1,YMR290C
BPL1,YDL141W
Uncharacterized,YDR269C
Uncharacterized,YOR139C
YHC3,YJL059W
RAD55,YDR076W
VHS1,YDR247W
Uncharacterized,YNL338W
TOS2,YGR221C
TAF1,YGR274C
NUP116,YMR047C
Uncharacterized,YPR077C
SPC2,YML055W
UFO1,YML088W
RFX1,YLR176C
SEC22,YLR268W
AUS1,YOR011W
ATG14,YBR128C
ERR3,YMR323W
PRR2,YDL214C
IBA57,YJR122W
MET4,YNL103W
AGE2,YIL044C
SSF2,YDR312W
HTD2,YHR067W
COX8,YLR395C
DIC1,YLR348C
INN1,YNL152W
HIS7,YBR248C
DSE4,YNR067C
SPO16,YHR153C
SEC53,YFL045C
WWM1,YFL010C
AIM23,YJL131C
DOP1,YDR141C
RRP8,YDR083W
CDC37,YDR168W
TKL2,YBR117C
Uncharacterized,YPL071C
RMI1,YPL024W
GAT4,YIR013C
LOT5,YKL183W
STE11,YLR362W
OCT1,YKL134C
UBX7,YBR273C
SPS4,YOR313C
Uncharacterized,YAR060C
MRX6,YNL295W
HAP2,YGL237C
DRS2,YAL026C
RDS3,YPR094W
HXT11,YOL156W
VPS68,YOL129W
IRC4,YDR540C
Uncharacterized,YHR130C
ISM1,YPL040C
UTP25,YIL091C
SMP1,YBR182C
MSD1,YPL104W
HPC2,YBR215W
MCP2,YLR253W
MOB1,YIL106W
ABM1,YJR108W
MDL1,YLR188W
ARI1,YGL157W
FIP1,YJR093C
RSC9,YML127W
ECL1,YGR146C
PEX8,YGR077C
YTP1,YNL237W
Uncharacterized,YJL195C
REX2,YLR059C
GIN4,YDR507C
ATP16,YDL004W
AHK1,YDL073W
Uncharacterized,YGR291C
MIT1,YEL007W
EMI1,YDR512C
EOS1,YNL080C
DIM1,YPL266W
GAL4,YPL248C
TRI1,YMR233W
ATG31,YDR022C
GAA1,YLR088W
Uncharacterized,YGR051C
DIA2,YOR080W
CMK2,YOL016C
PYC1,YGL062W
ISU2,YOR226C
Uncharacterized,YEL025C
RPH1,YER169W
TIF34,YMR146C
KIP1,YBL063W
UBP10,YNL186W
BFR1,YOR198C
TAH1,YCR060W
Uncharacterized,YBR016W
RRG8,YPR116W
GAR1,YHR089C
ADE3,YGR204W
CEP3,YMR168C
Uncharacterized,YNL092W
PRY3,YJL078C
PAC2,YER007W
PAU23,YLR037C
Uncharacterized,YCR006C
SPT3,YDR392W
TFB4,YPR056W
TMA64,YDR117C
GRC3,YLL035W
ELP2,YGR200C
PET309,YLR067C
RRT14,YIL127C
MDG1,YNL173C
REV3,YPL167C
IFH1,YLR223C
Uncharacterized,YLR294C
SFK1,YKL051W
HMX1,YLR205C
BNA4,YBL098W
ATG27,YJL178C
UBC7,YMR022W
RTC5,YOR118W
PIR1,YKL164C
PMT1,YDL095W
Uncharacterized,YPR038W
NCS2,YNL119W
EPS1,YIL005W
ARE2,YNR019W
GIM5,YML094W
MRPL13,YKR006C
IRE1,YHR079C
MEP3,YPR138C
SNZ3,YFL059W
IPA1,YJR141W
TAL1,YLR354C
CNN1,YFR046C
HRI1,YLR301W
Uncharacterized,YKL077W
MNN9,YPL050C
Uncharacterized,YJR114W
MTR3,YGR158C
Uncharacterized,YIL058W
Uncharacterized,YHR022C
HMS1,YOR032C
DHH1,YDL160C
RLP7,YNL002C
SPO7,YAL009W
KCH1,YJR054W
CLC1,YGR167W
Uncharacterized,YBR134W
CSH1,YBR161W
HRK1,YOR267C
TDA3,YHR009C
RHO3,YIL118W
Uncharacterized,YGR018C
KES1,YPL145C
Uncharacterized,YGL214W
APM2,YHL019C
NAB3,YPL190C
SCP1,YOR367W
GOR1,YNL274C
HKR1,YDR420W
RPL39,YJL189W
NUP49,YGL172W
Uncharacterized,YOR385W
COF1,YLL050C
TYS1,YGR185C
RAS1,YOR101W
Uncharacterized,YGL149W
RPL3,YOR063W
SSH1,YBR283C
Uncharacterized,YOL037C
REX4,YOL080C
RRI2,YOL117W
VMA6,YLR447C
MDM1,YML104C
ABZ1,YNR033W
AGA1,YNR044W
REF2,YDR195W
FOL1,YNL256W
AAD3,YCR107W
ARG1,YOL058W
RIM8,YGL045W
MAM1,YER106W
BBC1,YJL020C
MIX23,YBL107C
RAD2,YGR258C
VMA11,YPL234C
YRF1-7,YPL283C
NPT1,YOR209C
DSS4,YPR017C
IES6,YEL044W
COX14,YML129C
SCS2,YER120W
PML1,YLR016C
BUD23,YCR047C
COG8,YML071C
CST26,YBR042C
GPI19,YDR437W
UBA4,YHR111W
IMD3,YLR432W
ZRG8,YER033C
LOS1,YKL205W
MCM7,YBR202W
SDH4,YDR178W
CMP2,YML057W
BCD1,YHR040W
KAE1,YKR038C
DAL1,YIR027C
RPN14,YGL004C
SAG1,YJR004C
OPI3,YJR073C
JLP2,YMR132C
GOT1,YMR292W
ASF1,YJL115W
CHL1,YPL008W
Uncharacterized,YGL193C
BOS1,YLR078C
UTP21,YLR409C
ARA2,YMR041C
Uncharacterized,YPL088W
PAM17,YKR065C
NUP84,YDL116W
PPA2,YMR267W
MYO5,YMR109W
HEM1,YDR232W
RGT2,YDL138W
MNN10,YDR245W
Uncharacterized,YOR289W
RNH70,YGR276C
Uncharacterized,YPR071W
SHU2,YDR078C
UBA2,YDR390C
CTR2,YHR175W
PAU19,YMR325W
MTC2,YKL098W
RAD34,YDR314C
Uncharacterized,YNL150W
Uncharacterized,YOR013W
MRS3,YJL133W
YSA1,YBR111C
Uncharacterized,YIL166C
CDC27,YBL084C
Uncharacterized,YKL136W
RGD2,YFL047W
SNZ2,YNL333W
NOC4,YPR144C
SWD2,YKL018W
STS1,YIR011C
SKS1,YPL026C
TYE7,YOR344C
Uncharacterized,YGL235W
Uncharacterized,YDR444W
DGK1,YOR311C
ZPS1,YOL154W
SHE3,YBR130C
IFA38,YBR159W
SLY1,YDR189W
Uncharacterized,YPR092W
FRT2,YAL028W
ATX2,YOR079C
HIS4,YCL030C
AIM14,YGL160W
ECM14,YHR132C
RSM25,YIL093C
STP1,YDR463W
ESL1,YIL151C
SHQ1,YIL104C
GSH2,YOL049W
DTR1,YBR180W
AFG2,YLR397C
RAD61,YDR014W
Uncharacterized,YPL102C
THI4,YGR144W
Uncharacterized,YJL215C
Uncharacterized,YLR255C
Uncharacterized,YGR111W
CDC43,YGL155W
CRT10,YOL063C
SFC1,YJR095W
YRF1-4,YLR466W
Uncharacterized,YJL193W
Uncharacterized,YOL014W
VMA3,YEL027W
MNL2,YLR057W
Uncharacterized,YNL235C
INO2,YDR123C
MMS22,YLR320W
CMK1,YFR014C
PEP5,YMR231W
SST2,YLR452C
MPH3,YJR160C
TCB1,YOR086C
DAS2,YDR020C
Uncharacterized,YGR053C
LEA1,YPL213W
PMS1,YNL082W
RFM1,YOR279C
RPB8,YOR224C
Uncharacterized,YPL264C
Uncharacterized,YCL046W
YBP2,YGL060W
KAR1,YNL188W
HIP1,YGR191W
SKT5,YBL061C
SIP5,YMR140W
Uncharacterized,YGL034C
Uncharacterized,YPR114W
TIF3,YPR163C
GAL7,YBR018C
VAB2,YEL005C
ARO3,YDR035W
SSP2,YOR242C
YIH1,YCR059C
YCP4,YCR004C
PRM8,YGL053W
YMD8,YML038C
MRX14,YDR115W
MME1,YMR166C
SMK1,YPR054W
MMS4,YBR098W
Uncharacterized,YLR031W
STE7,YDL159W
Uncharacterized,YJR038C
FMS1,YMR020W
Uncharacterized,YLR296W
RCO1,YMR075W
JAC1,YGL018C
Uncharacterized,YDR215C
RGA2,YDR379W
DBP8,YHR169W
ARP5,YNL059C
Uncharacterized,YLR278C
QDR2,YIL121W
NSP1,YJL041W
RPS10a,YOR293W
FUI1,YBL042C
Uncharacterized,YKL111C
PEX21,YGR239C
BEM4,YPL161C
RPN6,YDL097C
MSS51,YLR203C
ECM9,YKR004C
LNP1,YHR192W
Uncharacterized,YML096W
CFD1,YIL003W
OAZ1,YPL052W
EXO5,YBR163W
RMT2,YDR465C
MER1,YNL210W
SMY1,YKL079W
DUG1,YFR044C
QCR6,YFR033C
ATG33,YLR356W
SAP4,YGL229C
TDA4,YJR116W
USE1,YGL098W
NUP120,YKL057C
Uncharacterized,YMR326C
RTS3,YGR161C
Uncharacterized,YDL162C
Uncharacterized,YJR056C
BTS1,YPL069C
SEI1,YLR404W
KIP3,YGL216W
IML1,YJR138W
HAC1,YFL031W
COY1,YKL179C
HRB1,YNL004W
SFH5,YJL145W
AGP2,YBR132C
PRM3,YPL192C
RBL2,YOR265W
Uncharacterized,YJR079W
SUP35,YDR172W
ARR1,YPR199C
Uncharacterized,YDR426C
DDC1,YPL194W
RPT3,YDR394W
Uncharacterized,YOR365C
ATG19,YOL082W
MIP1,YOR330C
BUD14,YAR014C
Uncharacterized,YOR387C
CYT1,YOR065W
DFG16,YOR030W
REI1,YBR267W
RAD50,YNL250W
TOM1,YDR457W
ROM1,YGR070W
SSK2,YNR031C
TOM22,YNL131W
PDR3,YBL005W
RSM10,YDR041W
Uncharacterized,YDR193W
PAP2,YOL115W
Uncharacterized,YPR015C
ENV7,YPL236C
ADH7,YCR105W
DXO1,YDR370C
Uncharacterized,YDL050C
PAC11,YDR488C
RNH203,YLR154C
ECM21,YBL101C
GND2,YGR256W
GDA1,YEL042W
TAH18,YPR048W
NSA2,YER126C
PPR1,YLR014C
TOM71,YHR117W
AZF1,YOR113W
AZR1,YGR224W
FIG1,YBR040W
THI21,YPL258C
YSC83,YHR017W
RRT12,YCR045C
TOR2,YKL203C
VBA3,YCL069W
PUS9,YDL036C
NTE1,YML059C
Uncharacterized,YFL067W
Uncharacterized,YKR045C
EDC2,YER035W
IMP3,YHR148W
RPS27a,YKL156W
ANT1,YPR128C
TMA17,YDL110C
ERG29,YMR134W
Uncharacterized,YJR071W
MND2,YIR025W
AMA1,YGR225W
PMC1,YGL006W
NCR1,YPL006W
GPT2,YKR067W
GLN4,YOR168W
MCM1,YMR043W
MOT2,YER068W
BET5,YML077W
AIP1,YMR092C
Uncharacterized,YDR230W
NPY1,YGL067W
CCT8,YJL008C
PRP22,YER013W
TMA23,YMR269W
LTP1,YPR073C
Uncharacterized,YER188W
VMA4,YOR332W
EFM1,YHL039W
Uncharacterized,YHR177W
BAP3,YDR046C
RPL35b,YDL136W
YTA7,YGR270W
HXT15,YDL245C
OMS1,YDR316W
SEC26,YDR238C
PEX29,YDR479C
UGA4,YDL210W
CWP1,YKL096W
YAF9,YNL107W
Uncharacterized,YBR113W
RPL16b,YNL069C
COX13,YGL191W
FET5,YFL041W
UBX5,YDR330W
SET2,YJL168C
FIG4,YNL325C
LAS21,YJL062W
Uncharacterized,YPR146C
TAF12,YDR145W
ULP1,YPL020C
SHE2,YKL130C
PRM9,YAR031W
SEC15,YGL233W
REV1,YOR346W
Uncharacterized,YOR102W
RNA1,YMR235C
DAM1,YGR113W
BUD6,YLR319C
PCH2,YBR186W
Uncharacterized,YLR184W
YEN1,YER041W
SOR1,YJR159W
HDA2,YDR295C
RRD1,YIL153W
WSS1,YHR134W
DPB3,YBR278W
REE1,YJL217W
Uncharacterized,YIL102C
KIP2,YPL155C
GPX2,YBR244W
SWC3,YAL011W
CSG2,YBR036C
FZO1,YBR179C
BDF1,YLR399C
JJJ3,YJR097W
BTN2,YGR142W
NIP7,YPL211W
LSM2,YBL026W
Uncharacterized,YLR257W
ATG21,YPL100W
BNI4,YNL233W
DPB4,YDR121W
VAM6,YDL077C
ODC2,YOR222W
URA3,YEL021W
PAM18,YLR008C
Uncharacterized,YHR210C
RPS14b,YJL191W
Uncharacterized,YLR464W
PRS5,YOL061W
ESC1,YMR219W
SPT8,YLR055C
Uncharacterized,YJR061W
PAU6,YNR076W
Uncharacterized,YFR016C
YSC84,YHR016C
Uncharacterized,YOR379C
FYV6,YNL133C
HMG2,YLR450W
PRK1,YIL095W
END3,YNL084C
ETT1,YOR051C
MUP1,YGR055W
LPX1,YOR084W
Uncharacterized,YBR287W
SPS22,YCL048W
GRX4,YER174C
RPL13b,YMR142C
LYS20,YDL182W
GPG1,YGL121C
GLO4,YOR040W
TOS6,YNL300W
OSH2,YDL019C
UBP13,YBL067C
UPS2,YLR168C
ZDS1,YMR273C
LEO1,YOR123C
MSS11,YMR164C
GPI13,YLL031C
CDC10,YCR002C
PDS1,YDR113C
COS6,YGR295C
RSC58,YLR033W
PAU18,YLL064C
FUR4,YBR021W
RAD9,YDR217C
GCR2,YNL199C
ARK1,YNL020C
VPS20,YMR077C
OM14,YBR230C
SMC1,YFL008W
HUL4,YJR036C
COQ11,YLR290C
FAA4,YMR246W
SVS1,YPL163C
YPK9,YOR291W
LCB2,YDR062W
SBA1,YKL117W
SIM1,YIL123W
SGV1,YPR161C
SEN15,YMR059W
Uncharacterized,YJL043W
RNH202,YDR279W
ERG9,YHR190W
BUG1,YDL099W
PAP1,YKR002W
MDN1,YLR106C
Uncharacterized,YML090W
COQ9,YLR201C
Uncharacterized,YGL041C
ATG5,YPL149W
UBS1,YBR165W
Uncharacterized,YIL001W
LEE1,YPL054W
Uncharacterized,YIL054W
MRX5,YJL147C
PPE1,YHR075C
YMR1,YJR110W
DOS2,YDR068W
SMC2,YFR031C
ORM2,YLR350W
GTR2,YGR163W
MLP2,YIL149C
SMM1,YNR015W
RTG3,YBL103C
CDC16,YKL022C
LST8,YNL006W
ISY1,YJR050W
YPT32,YGL210W
NFI1,YOR156C
PSY3,YLR376C
CDC9,YDL164C
OAR1,YKL055C
RIM15,YFL033C
Uncharacterized,YML108W
SGF29,YCL010C
CNE1,YAL058W
TTI2,YJR136C
Uncharacterized,YMR310C
SAP185,YJL098W
MRPL16,YBL038W
Uncharacterized,YDR396W
Uncharacterized,YHL042W
CAF120,YNL278W
VAS1,YGR094W
CRH1,YGR189C
ANR2,YKL047W
PIP2,YOR363C
ALG8,YOR067C
SKM1,YOL113W
SLA1,YBL007C
KCC4,YCL024W
TSC10,YBR265W
HST4,YDR191W
DAP2,YHR028C
RSM19,YNR037C
Uncharacterized,YNR048W
PRP45,YAL032C
PHM7,YOL084W
UGP1,YKL035W
SDH7,YDR511W
TIP20,YGL145W
WSC2,YNL283C
MRPL17,YNL252C
PDE1,YGL248W
BAP2,YBR068C
ENO1,YGR254W
NRG1,YDR043C
USV1,YPL230W
UTR2,YEL040W
EDC3,YEL015W
CMR3,YPR013C
MRPL25,YGR076C
CMG1,YLR271W
MNN4,YKL201C
CLN2,YPL256C
Uncharacterized,YDL034W
DMA1,YHR115C
PET122,YER153C
DSE1,YER124C
MIM1,YOL026C
CCT7,YJL111W
CBS1,YDL069C
PMR1,YGL167C
Uncharacterized,YLR366W
FMN1,YDR236C
RPS27b,YHR021C
PHM8,YER037W
MSH3,YCR092C
CHS1,YNL192W
MIR1,YJR077C
RER2,YBR002C
HAP4,YKL109W
SRP102,YKL154W
PSR1,YLL010C
TRM3,YDL112W
ECM30,YLR436C
Uncharacterized,YOL019W
YPS3,YLR121C
KTR2,YKR061W
SLC1,YDL052C
HMG1,YML075C
Uncharacterized,YML002W
IES3,YLR052W
TIR1,YER011W
Uncharacterized,YMR090W
TRA1,YHR099W
RMA1,YKL132C
ATG7,YHR171W
HSP78,YDR258C
ATX1,YNL259C
YJU3,YKL094W
MCM21,YDR318W
GTO3,YMR251W
AIM9,YER080W
MPH2,YDL247W
PPQ1,YPL179W
TES1,YJR019C
EKI1,YDR147W
PET112,YBL080C
EIS1,YMR031C
RPS16b,YDL083C
GAT2,YMR136W
RAD1,YPL022W
MRX8,YDR336W
BNA3,YJL060W
CRC1,YOR100C
EGT2,YNL327W
EEB1,YPL095C
UFD1,YGR048W
Uncharacterized,YGR115C
PAF1,YBR279W
TAZ1,YPR140W
MST28,YAR033W
SGN1,YIR001C
RPA43,YOR340C
CBF2,YGR140W
ENB1,YOL158C
Uncharacterized,YBR184W
EMC4,YGL231C
SPL2,YHR136C
Uncharacterized,YDR018C
SUR2,YDR297W
PFY1,YOR122C
